 
 SAP2000 v24.1.0 File: 1STORY-DYNAMIC-INELASTIC-CHECK-B  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  inelastic-0.02
 FUNCTION  moment-1-1:  Frame 1  Station 5  Moment 3-3    
 
       TIME    FUNCTION
             moment-1-1
         0.          0.
       0.02   76543.797
       0.04   48506.944
       0.06  30840.5577
       0.08  30840.7447
        0.1  22058.9383
       0.12  22059.0151
       0.14  22058.8842
       0.16    69586.29
       0.18   35998.541
        0.2   69268.464
       0.22   63019.753
       0.24   77331.219
       0.26   67051.272
       0.28   67051.508
        0.3   66554.647
       0.32   96851.532
       0.34  156683.033
       0.36  156683.133
       0.38  159850.044
        0.4  202746.061
       0.42  119602.301
       0.44  119602.078
       0.46    119601.8
       0.48  119601.382
        0.5  119600.807
       0.52   119600.29
       0.54  119599.542
       0.56  119598.649
       0.58  119597.616
        0.6  119595.853
       0.62  119593.858
       0.64  119592.866
       0.66  119591.511
       0.68  119590.812
        0.7  119590.275
       0.72   119589.82
       0.74  119589.324
       0.76  119588.495
       0.78  119587.854
        0.8  119587.267
       0.82  119586.327
       0.84  119585.218
       0.86  119581.658
       0.88   119580.59
        0.9  119580.199
       0.92  119580.079
       0.94  190307.654
       0.96  190307.767
       0.98  190307.963
         1.  190308.227
