 
 SAP2000 v24.2.0 File: 2STORY-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  nonlinear-0.002
 FUNCTION  disp-10-x:  Joint 10  Displacement  UX    
 FUNCTION  moment-2-0:  Frame 2  Station 1  Moment 3-3    
 FUNCTION  moment-2-1:  Frame 2  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION
              disp-10-x  moment-2-0  moment-2-1
         0.          0.          0.          0.
      0.002          0.     0.10569    -0.21111
      0.004          0.     0.63473    -1.26591
      0.006          0.     2.01631    -4.00832
      0.008          0.     4.70666    -9.29619
       0.01          0.     9.24101   -18.04148
      0.012          0.    16.32248   -31.28165
      0.014          0.    26.92821    -50.2658
      0.016   2.106E-06    42.38537   -76.51661
      0.018   4.423E-06      64.361  -111.82214
       0.02   8.340E-06    94.73644  -158.13336
      0.022   1.437E-05   135.37662  -217.36294
      0.024   2.295E-05   187.86901  -291.15829
      0.026   3.436E-05   253.32955  -380.75336
      0.028   4.872E-05   332.31001  -486.90325
       0.03   6.596E-05   424.81639  -609.89778
      0.032   8.587E-05   530.43878  -749.66649
      0.034   1.082E-04   648.56475  -905.95173
      0.036   1.327E-04    778.6333  -1078.5146
      0.038   1.592E-04   920.37183  -1267.3267
       0.04   1.877E-04  1073.95241  -1472.6965
      0.042   2.184E-04  1240.06994  -1695.3875
      0.044   2.517E-04  1419.89425  -1936.6336
      0.046   2.879E-04  1614.85069  -2197.9012
      0.048   3.274E-04  1826.39846  -2480.6505
       0.05   3.707E-04  2055.91636  -2786.2405
      0.052   4.181E-04   2304.6689  -3115.9024
      0.054   4.701E-04  2573.82957   -3470.759
      0.056   5.268E-04  2864.51502   -3851.855
      0.058   5.889E-04  3177.78859   -4260.158
       0.06   6.564E-04  3514.61233   -4696.521
      0.062   7.298E-04  3875.59118   -5161.281
      0.064   8.093E-04   4260.6946   -5653.846
      0.066   8.948E-04  4669.31446   -6172.935
      0.068   9.864E-04  5100.37194   -6716.861
       0.07     0.00108  5552.33129   -7283.545
      0.072     0.00119  6023.27791   -7870.578
      0.074     0.00129  6511.04509   -8475.334
      0.076     0.00141  7013.37558   -9095.094
      0.078     0.00152  7528.10874   -9727.205
       0.08     0.00164  8053.37678  -10369.232
      0.082     0.00177  8587.87114  -11019.295
      0.084     0.00189  9131.03258  -11676.334
      0.086     0.00202  9682.93636  -12339.909
      0.088     0.00216  10244.0756  -13009.904
       0.09      0.0023  10815.1921  -13686.397
      0.092     0.00245  11397.1189  -14369.534
      0.094      0.0026  11990.6656  -15059.443
      0.096     0.00275  12596.5303   -15756.17
      0.098     0.00292  13215.2039  -16459.602
        0.1     0.00309  13846.8541  -17169.383
      0.102     0.00327  14491.1288  -17884.645
      0.104     0.00345  15147.0127   -18603.79
      0.106     0.00364  15812.9361  -19324.684
      0.108     0.00384  16486.9506  -20044.899
       0.11     0.00404  17166.8537   -20761.82
      0.112     0.00425  17850.3264  -21472.758
      0.114     0.00447  18535.0861   -22175.07
      0.116     0.00469  19219.0676   -22866.31
      0.118     0.00491  19900.6159  -23544.394
