 
 SAP2000 v24.1.0 File: 3D-2SIDE-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  elastic-0.02-undamped
 FUNCTION  disp-1-x:  Joint 1  Displacement  UX    
 FUNCTION  disp-3-y:  Joint 3  Displacement  UY    
 FUNCTION  moment-2-1-m3:  Frame 2  Station 3  Moment 3-3    
 FUNCTION  moment-2-1-m2:  Frame 2  Station 3  Moment 2-2    
 FUNCTION  moment-4-1-m3:  Frame 4  Station 7  Moment 3-3    
 FUNCTION  moment-4-1-m2:  Frame 4  Station 7  Moment 2-2    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-x    disp-3-y moment-2-1- moment-2-1- moment-4-1- moment-4-1-
         0.          0.          0.          0.          0.          0.          0.
       0.02   1.975E-04   3.954E-04   -5468.018    93.13192  2452.62369   -10.44728
       0.04     0.00151     0.00272   -33291.44   623.26669  19072.1978    -59.5236
       0.06      0.0049     0.00894     -74976.   2018.7859   62685.551  -191.16292
       0.08     0.01113     0.02084  -106862.61  4620.10188  143422.113  -436.99296
        0.1     0.01988     0.03888  -106596.82  8408.34123  255452.106  -802.84603
       0.12     0.03104     0.06358  -115172.96  13304.7501   392172.75  -1268.4738
       0.14     0.04375     0.09462  -153732.93  18992.8098   537346.09  -1797.8698
       0.16     0.05655     0.13112  -192768.22  25002.9062   669668.48    -2349.66
       0.18     0.06835     0.17255  -210904.08   30946.993   773818.85  -2882.3075
        0.2     0.07776     0.21789  -205670.97    36339.74   832124.97   -3348.308
       0.22     0.08388     0.26631  -207709.71   40789.745   834252.43   -3700.374
       0.24     0.08598     0.31698  -225824.36    43985.95   776459.31   -3901.316
       0.26     0.08294     0.36817  -214665.02   45508.911   654016.91   -3915.563
       0.28     0.07387     0.41778  -151714.02   44972.875    466322.3   -3707.331
        0.3     0.05891     0.46448   -86231.77   42285.675  224736.709   -3257.786
       0.32     0.03908     0.50756    -62604.5   37626.553   -48167.44  -2569.9312
       0.34     0.01504     0.54592   -33576.07  31236.2266    -331880.  -1679.6961
       0.36    -0.01118     0.57983  28483.8561  23741.8571   -592029.7  -642.05378
       0.38    -0.03796     0.60879  123445.567  15649.6233   -806023.2    492.5848
        0.4    -0.06331     0.63258  196875.612  7539.62001   -954484.4  1677.11072
       0.42    -0.08472     0.65194  205967.025   164.52073  -1016491.2  2856.03485
       0.44     -0.1014     0.66597  224110.954   -6136.338    -994976.  3982.02118
       0.46    -0.11255     0.67408  288767.281  -11083.292   -898922.7  5025.10494
       0.48     -0.1168     0.67693    326733.7  -14258.511   -736359.7  5959.74513
        0.5    -0.11323     0.67524  280985.619  -15390.479   -520757.8  6774.89498
       0.52    -0.10266     0.66862  219873.264  -14605.321  -281142.02  7463.75969
       0.54    -0.08547      0.6579  188857.058   -11936.78    -36438.8  8025.78779
       0.56    -0.06263     0.64366  170151.631   -7633.809  190993.336  8480.68655
       0.58     -0.0355     0.62631  110805.189   -2140.468   379897.93  8869.71209
        0.6    -0.00568     0.60656   650.79538  4077.16246   517391.45    9227.877
       0.62     0.02468     0.58496   -96755.09  10460.7195    595396.8  9580.40356
       0.64     0.05322     0.56156  -132900.24  16310.3277   609768.66  9967.87116
       0.66     0.07702     0.53496  -124295.19  20618.2075   551163.33   10462.236
       0.68      0.0932     0.50302  -129857.55  22304.4935   412505.03  11146.4086
        0.7     0.09945     0.46385  -163995.89  20522.3094   196908.32  12071.3444
       0.72     0.09435     0.41627   -173108.8  14828.2283   -79690.04  13235.4679
       0.74     0.07819     0.36066  -127396.68  5396.39704    -384794.  14579.4492
       0.76     0.05307     0.29857   -66102.97   -7102.421   -673540.5  16019.8677
       0.78     0.02036     0.22981   11094.192  -22159.054   -921273.5  17467.9898
        0.8    -0.01718      0.1553   85383.622   -38850.82  -1098800.3  18815.1536
       0.82     -0.0557     0.07735  137564.545   -55809.29   -1175550.  19915.6764
       0.84    -0.09107     -0.0012  178756.453   -71514.65  -1129085.4  20612.6899
       0.86    -0.11932     -0.0774  224579.933   -84484.32   -949894.6  20762.2204
       0.88    -0.13702    -0.14846  261497.496   -93436.22   -644125.6  20254.7129
        0.9    -0.14162    -0.21203  260103.588   -97428.02  -234229.66  19025.9925
       0.92    -0.13196    -0.26638  215710.911   -95960.89  242592.664  17059.6269
       0.94     -0.1084    -0.31062  154069.189    -89045.6   737736.87  14390.5062
       0.96    -0.07275    -0.34475   93698.974   -77224.58  1195992.07  11110.4714
       0.98    -0.02808    -0.36966  23100.4512   -61536.68  1561624.15  7365.60372
         1.     0.02146    -0.38704   -72326.95   -43421.25  1785257.21  3339.50374
