 
 SAP2000 v24.1.0 File: 3D-2SIDE-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  dynamic-inelastic-0.002
 FUNCTION  disp-1-x:  Joint 1  Displacement  UX    
 FUNCTION  disp-3-x:  Joint 3  Displacement  UX    
 FUNCTION  disp-3-y:  Joint 3  Displacement  UY    
 FUNCTION  shear22-3-0:  Frame 3  Station 1  Shear 2-2    
 FUNCTION  shear33-3-0:  Frame 3  Station 1  Shear 3-3    
 FUNCTION  moment22-3-0:  Frame 3  Station 1  Moment 2-2    
 FUNCTION  moment33-3-0:  Frame 3  Station 1  Moment 3-3    
 FUNCTION  moment22-3-1:  Frame 3  Station 3  Moment 2-2    
 FUNCTION  moment33-3-1:  Frame 3  Station 3  Moment 3-3    
 FUNCTION  shear22-3-1:  Frame 3  Station 3  Shear 2-2    
 FUNCTION  shear33-3-1:  Frame 3  Station 3  Shear 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-x    disp-3-x    disp-3-y shear22-3-0 shear33-3-0 moment22-3-0 moment33-3-0 moment22-3-1 moment33-3-1 shear22-3-1 shear33-3-1
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
      0.002          0.          0.          0.     0.43573     0.00436     0.00661     0.44653    -0.00648    -0.86065     0.43573     0.00436
      0.004   2.253E-06          0.          0.     2.71291     0.02509     0.03797     2.83782     -0.0373    -5.30089     2.71291     0.02509
      0.006   6.100E-06          0.          0.     9.07136     0.07469     0.11287     9.76949    -0.11119   -17.44459     9.07136     0.07469
      0.008   1.168E-05   2.136E-06   1.712E-06    22.41214     0.15978     0.24093     24.9439    -0.23839   -42.29253    22.41214     0.15978
       0.01   1.848E-05   5.707E-06   2.993E-06    46.04831     0.28177     0.42364    52.81224    -0.42166    -85.3327    46.04831     0.28177
      0.012   2.649E-05   1.213E-05   4.618E-06    82.85619     0.43975     0.65868    97.23229    -0.66056  -151.33629    82.85619     0.43975
      0.014   3.645E-05   2.171E-05   6.571E-06    134.5231     0.63414     0.94566   160.25781    -0.95676  -243.31149    134.5231     0.63414
      0.016   4.964E-05   3.434E-05   8.883E-06   201.73434     0.86965     1.29076   242.43618    -1.31818  -362.76683   201.73434     0.86965
      0.018   6.728E-05   4.999E-05   1.165E-05   285.17576     1.15633     1.70855   344.42505    -1.76043  -511.10222   285.17576     1.15633
       0.02   8.999E-05   6.913E-05   1.502E-05   386.30296     1.50855      2.2206    468.2299    -2.30503  -690.67897   386.30296     1.50855
      0.022   1.175E-04   9.260E-05   1.917E-05   507.11178     1.94173     2.85054   616.85634    -2.97467  -904.47899   507.11178     1.94173
      0.024   1.492E-04   1.212E-04   2.425E-05    649.3017     2.46851     3.61803   793.00149     -3.7875  -1154.9036    649.3017     2.46851
      0.026   1.847E-04   1.556E-04   3.035E-05   813.69327     3.09635     4.53509   998.12567    -4.75395  -1442.9541   813.69327     3.09635
      0.028   2.250E-04   1.959E-04   3.750E-05  1000.12452      3.8271      5.6051    1232.287    -5.87621  -1768.0866  1000.12452      3.8271
       0.03   2.716E-04   2.420E-04   4.570E-05  1207.67173     4.65844      6.8249  1494.48705    -7.15042  -2128.5281  1207.67173     4.65844
      0.032   3.256E-04   2.939E-04   5.490E-05  1435.17431     5.58715     8.18978  1783.48253    -8.57168  -2522.0404  1435.17431     5.58715
      0.034   3.872E-04   3.518E-04   6.510E-05  1681.92832     6.61299     9.69933  2098.87869   -10.13963  -2946.9063  1681.92832     6.61299
      0.036   4.560E-04   4.165E-04   7.636E-05  1948.00255     7.74117    11.36143  2441.63349   -11.86209   -3402.374  1948.00255     7.74117
      0.038   5.313E-04   4.889E-04   8.880E-05  2233.68039     8.98254    13.19249  2813.15132   -13.75514    -3887.89  2233.68039     8.98254
       0.04   6.131E-04   5.697E-04   1.026E-04  2538.41927    10.35118    15.21402  3213.58429   -15.83953   -4401.674  2538.41927    10.35118
      0.042   7.023E-04   6.587E-04   1.179E-04  2860.60744    11.86267    17.45001  3641.29977     -18.138   -4940.523  2860.60744    11.86267
      0.044   8.008E-04   7.558E-04   1.348E-04  3198.48263    13.53209      19.924  4094.22575   -20.67227   -5501.222  3198.48263    13.53209
      0.046   9.098E-04   8.610E-04   1.536E-04  3551.16538    15.36899    22.65137  4571.61006   -23.45561   -6081.886  3551.16538    15.36899
      0.048     0.00103   9.751E-04   1.742E-04  3919.04948    17.37487    25.63536  5074.74682   -26.48926   -6682.402  3919.04948    17.37487
       0.05     0.00116      0.0011   1.967E-04  4303.32103    19.54592    28.87105  5606.20077   -29.76671   -7303.762  4303.32103    19.54592
      0.052      0.0013     0.00123   2.209E-04  4704.93303    21.87798    32.35264  6168.17393   -33.28129   -7946.625  4704.93303    21.87798
      0.054     0.00145     0.00138   2.470E-04  5123.81516     24.3718    36.08134  6761.24984   -37.03405   -8610.196  5123.81516     24.3718
      0.056      0.0016     0.00154   2.749E-04  5558.79294    27.03638    40.07047  7384.25116   -41.03866   -9292.128  5558.79294    27.03638
      0.058     0.00178     0.00171   3.049E-04  6008.27044    29.88893    44.34565  8035.29491   -45.32113   -9989.516  6008.27044    29.88893
       0.06     0.00196     0.00189   3.373E-04  6471.31128    32.95137    48.93978  8713.48473   -49.91434  -10700.449  6471.31128    32.95137
      0.062     0.00216     0.00209   3.720E-04  6947.71166    36.23815     53.8747  9419.39076   -54.83974  -11423.744  6947.71166    36.23815
      0.064     0.00237     0.00229   4.092E-04  7436.90851      39.746    59.14592  10153.6789   -60.09208  -12157.047  7436.90851      39.746
      0.066     0.00259     0.00251   4.487E-04  7937.01121    43.46223    64.73509  10915.1604   -65.65158  -12895.873  7937.01121    43.46223
      0.068     0.00282     0.00275   4.904E-04  8443.99469    47.37543    70.62629  11699.0674   -71.49999  -13632.917  8443.99469    47.37543
       0.07     0.00306     0.00299   5.343E-04  8952.08146    51.47867    76.81068  12497.6133   -77.62534  -14358.631  8952.08146    51.47867
