 
 SAP2000 v24.1.0 File: 3D-2SIDE-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  dynamic-inelastic-0.002
 FUNCTION  disp-1-x:  Joint 1  Displacement  UX    
 
       TIME    FUNCTION
               disp-1-x
         0.          0.
      0.002          0.
      0.004   2.253E-06
      0.006   6.100E-06
      0.008   1.168E-05
       0.01   1.848E-05
      0.012   2.649E-05
      0.014   3.645E-05
      0.016   4.964E-05
      0.018   6.728E-05
       0.02   8.999E-05
      0.022   1.175E-04
      0.024   1.492E-04
      0.026   1.847E-04
      0.028   2.250E-04
       0.03   2.716E-04
      0.032   3.256E-04
      0.034   3.872E-04
      0.036   4.560E-04
      0.038   5.313E-04
       0.04   6.131E-04
      0.042   7.023E-04
      0.044   8.008E-04
      0.046   9.098E-04
      0.048     0.00103
       0.05     0.00116
      0.052      0.0013
      0.054     0.00145
      0.056      0.0016
      0.058     0.00178
       0.06     0.00196
      0.062     0.00216
      0.064     0.00237
      0.066     0.00259
      0.068     0.00282
       0.07     0.00306
      0.072     0.00331
      0.074     0.00358
      0.076     0.00386
      0.078     0.00415
       0.08     0.00444
      0.082     0.00474
      0.084     0.00506
      0.086     0.00538
      0.088     0.00572
       0.09     0.00608
      0.092     0.00643
      0.094      0.0068
      0.096     0.00717
      0.098     0.00755
        0.1     0.00795
      0.102     0.00836
      0.104     0.00878
      0.106      0.0092
      0.108     0.00963
       0.11     0.01006
      0.112     0.01051
      0.114     0.01097
      0.116     0.01144
      0.118     0.01191
       0.12     0.01239
      0.122     0.01287
      0.124     0.01335
      0.126     0.01384
      0.128     0.01434
       0.13     0.01484
      0.132     0.01534
      0.134     0.01584
      0.136     0.01634
      0.138     0.01684
       0.14     0.01734
      0.142     0.01785
      0.144     0.01836
      0.146     0.01886
      0.148     0.01936
       0.15     0.01985
      0.152     0.02034
      0.154     0.02083
      0.156     0.02132
      0.158     0.02181
       0.16     0.02229
      0.162     0.02277
      0.164     0.02323
      0.166     0.02369
      0.168     0.02415
       0.17      0.0246
      0.172     0.02505
      0.174     0.02549
      0.176     0.02592
      0.178     0.02633
       0.18     0.02673
      0.182     0.02713
      0.184     0.02752
      0.186      0.0279
      0.188     0.02826
       0.19     0.02861
      0.192     0.02895
      0.194     0.02927
      0.196     0.02958
      0.198     0.02988
        0.2     0.03017
      0.202     0.03044
      0.204     0.03069
      0.206     0.03093
      0.208     0.03115
       0.21     0.03136
      0.212     0.03156
      0.214     0.03174
      0.216     0.03191
      0.218     0.03206
       0.22     0.03218
      0.222     0.03229
      0.224     0.03239
      0.226     0.03248
      0.228     0.03254
       0.23     0.03259
      0.232     0.03262
      0.234     0.03262
      0.236     0.03261
      0.238     0.03258
       0.24     0.03253
      0.242     0.03247
      0.244     0.03238
      0.246     0.03227
      0.248     0.03213
       0.25     0.03197
      0.252     0.03179
      0.254      0.0316
      0.256     0.03138
      0.258     0.03113
       0.26     0.03086
      0.262     0.03056
      0.264     0.03024
      0.266     0.02991
      0.268     0.02955
       0.27     0.02917
      0.272     0.02876
      0.274     0.02832
      0.276     0.02785
      0.278     0.02737
       0.28     0.02687
      0.282     0.02635
      0.284      0.0258
      0.286     0.02523
      0.288     0.02464
       0.29     0.02402
      0.292     0.02338
      0.294     0.02273
      0.296     0.02206
      0.298     0.02137
        0.3     0.02066
      0.302     0.01993
      0.304     0.01918
      0.306     0.01841
      0.308     0.01763
       0.31     0.01683
      0.312     0.01602
      0.314     0.01519
      0.316     0.01434
      0.318     0.01347
       0.32     0.01258
      0.322     0.01169
      0.324     0.01078
      0.326     0.00986
      0.328     0.00892
       0.33     0.00797
      0.332     0.00701
      0.334     0.00603
      0.336     0.00505
      0.338     0.00407
       0.34     0.00308
      0.342     0.00208
      0.344     0.00108
      0.346   6.367E-05
      0.348  -9.552E-04
       0.35    -0.00197
      0.352    -0.00298
      0.354      -0.004
      0.356    -0.00501
      0.358    -0.00603
       0.36    -0.00706
      0.362    -0.00809
      0.364    -0.00911
      0.366    -0.01012
      0.368    -0.01112
       0.37    -0.01213
      0.372    -0.01314
      0.374    -0.01415
      0.376    -0.01515
      0.378    -0.01614
       0.38    -0.01712
      0.382    -0.01809
      0.384    -0.01905
      0.386    -0.02001
      0.388    -0.02096
       0.39     -0.0219
      0.392    -0.02282
      0.394    -0.02372
      0.396    -0.02461
      0.398    -0.02548
        0.4    -0.02633
      0.402    -0.02717
      0.404      -0.028
      0.406     -0.0288
      0.408    -0.02957
       0.41    -0.03033
      0.412    -0.03107
      0.414    -0.03179
      0.416     -0.0325
      0.418    -0.03318
       0.42    -0.03385
      0.422    -0.03449
      0.424    -0.03511
      0.426    -0.03571
      0.428     -0.0363
       0.43    -0.03687
      0.432    -0.03743
      0.434    -0.03796
      0.436    -0.03846
      0.438    -0.03895
       0.44    -0.03942
      0.442    -0.03987
      0.444    -0.04031
      0.446    -0.04072
      0.448    -0.04112
       0.45    -0.04148
      0.452    -0.04183
      0.454    -0.04216
      0.456    -0.04247
      0.458    -0.04276
       0.46    -0.04303
      0.462    -0.04328
      0.464     -0.0435
      0.466     -0.0437
      0.468    -0.04387
       0.47    -0.04403
      0.472    -0.04417
      0.474    -0.04428
      0.476    -0.04437
      0.478    -0.04443
       0.48    -0.04446
      0.482    -0.04447
      0.484    -0.04446
      0.486    -0.04444
      0.488    -0.04438
       0.49     -0.0443
      0.492     -0.0442
      0.494    -0.04407
      0.496    -0.04392
      0.498    -0.04375
        0.5    -0.04357
      0.502    -0.04337
      0.504    -0.04314
      0.506    -0.04288
      0.508     -0.0426
