 
 SAP2000 v24.1.0 File: 3D-SIMPLE-BEAM-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  linear-modal-undapmed-0.002
 FUNCTION  disp-1-z-elastic:  Joint 1  Displacement  UZ    
 FUNCTION  disp-1-y-elastic:  Joint 1  Displacement  UY    
 FUNCTION  moment-1-1-m3:  Frame 1  Station 3  Moment 3-3    
 FUNCTION  moment-1-1-m2:  Frame 1  Station 3  Moment 2-2    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
            disp-1-z-el disp-1-y-el moment-1-1- moment-1-1-
         0.          0.          0.          0.          0.
       0.02  -2.431E-04  -5.989E-04   -5835.507   574.94147
       0.04  -9.870E-04    -0.00461  -23688.194  4425.48664
       0.06    -0.00128     -0.0149  -30681.515   14302.938
       0.08    -0.00145    -0.03335   -34909.55   32019.024
        0.1    -0.00137    -0.05767   -32878.44   55367.768
       0.12    -0.00179    -0.08535   -42840.75   81936.447
       0.14    -0.00147    -0.11165   -35329.42  107181.063
       0.16    -0.00103    -0.13102  -24717.211  125777.837
       0.18    -0.00173    -0.14019   -41415.49  134586.287
        0.2    -0.00108    -0.13631  -25956.409  130858.252
       0.22  -7.309E-04    -0.11926  -17541.209  114486.949
       0.24    -0.00141    -0.09115   -33820.55   87501.151
       0.26  -1.490E-04    -0.05398   -3575.866   51822.819
       0.28   5.335E-04    -0.01052  12802.9125  10094.4744
        0.3  -5.552E-04     0.03428  -13324.429   -32910.98
       0.32   3.276E-04     0.07403  7862.25573   -71073.19
       0.34     0.00141     0.10473   33781.554  -100540.45
       0.36  -5.113E-04     0.12084  -12271.619  -116006.74
       0.38   8.556E-04     0.12146  20534.4233  -116604.89
        0.4     0.00185     0.10774   44291.217  -103431.49
       0.42  -6.989E-04     0.08107  -16772.548   -77823.67
       0.44     0.00158     0.04852    37858.06   -46577.19
       0.46     0.00247     0.01724   59247.939  -16553.423
       0.48  -9.650E-04     -0.0083  -23160.026  7966.08826
        0.5     0.00106    -0.02515  25527.1021   24144.952
       0.52     0.00277    -0.02941   66441.847  28231.1078
       0.54    -0.00156    -0.02244   -37366.83  21538.0388
       0.56   3.953E-04    -0.00691  9487.89845  6637.21907
       0.58     0.00235      0.0132   56389.919  -12671.497
        0.6    -0.00224     0.03229   -53757.81  -31000.795
       0.62  -3.745E-04     0.04532   -8987.499   -43504.85
       0.64     0.00206     0.04897   49546.472    -47007.7
       0.66    -0.00155     0.04448   -37181.73   -42700.99
       0.68   6.642E-04     0.03593  15939.6633   -34497.14
        0.7     0.00323     0.02795   77536.711   -26836.29
       0.72  -6.723E-04     0.02424  -16134.322  -23268.853
       0.74   5.343E-04     0.02545  12823.9859  -24436.458
       0.76     0.00263     0.02916    63017.19  -27997.581
       0.78   2.620E-05     0.03697   628.73561   -35488.59
        0.8   4.798E-04      0.0475  11516.1823    -45599.8
       0.82     0.00183     0.05663   44024.339   -54363.57
       0.84    -0.00104     0.05963  -24934.348   -57244.43
       0.86  -8.249E-04     0.05248   -19796.75   -50378.36
       0.88   6.172E-04     0.03288  14811.6676  -31560.935
        0.9     -0.0021   9.926E-04   -50437.88  -952.89743
       0.92    -0.00178    -0.04026   -42664.46   38649.322
       0.94   6.406E-05    -0.08547  1537.47813   82053.333
       0.96    -0.00224     -0.1275   -53834.88  122403.103
       0.98    -0.00165    -0.15864   -39584.08  152294.022
         1.   6.432E-04    -0.17196  15435.9406  165085.976
