 
 SAP2000 v24.1.0 File: 3D-SIMPLE-BEAM-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  dynamic-inelastic-0.002
 FUNCTION  disp-1-y:  Joint 1  Displacement  UY    
 FUNCTION  disp-1-z:  Joint 1  Displacement  UZ    
 FUNCTION  shear22-0-0:  Frame 0  Station 1  Shear 2-2    
 FUNCTION  shear22-0-1:  Frame 0  Station 5  Shear 2-2    
 FUNCTION  shear33-0-1:  Frame 0  Station 5  Shear 3-3    
 FUNCTION  shear33-0-0:  Frame 0  Station 1  Shear 3-3    
 FUNCTION  moment22-0-0:  Frame 0  Station 1  Moment 2-2    
 FUNCTION  moment22-0-1:  Frame 0  Station 5  Moment 2-2    
 FUNCTION  shear22-1-1:  Frame 1  Station 3  Shear 2-2    
 FUNCTION  shear33-1-1:  Frame 1  Station 3  Shear 3-3    
 FUNCTION  moment22-1-1:  Frame 1  Station 3  Moment 2-2    
 FUNCTION  moment33-0-0:  Frame 0  Station 1  Moment 3-3    
 FUNCTION  moment33-0-1:  Frame 0  Station 5  Moment 3-3    
 FUNCTION  moment33-1-1:  Frame 1  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-y    disp-1-z shear22-0-0 shear22-0-1 shear33-0-1 shear33-0-0 moment22-0- moment22-0- shear22-1-1 shear33-1-1 moment22-1- moment33-0- moment33-0- moment33-1-
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
      0.002          0.          0.    -3.10624    -3.10624     0.08369     0.08369     0.07174    -0.09565     8.87497    -0.23912     0.14347    -2.66249     3.54999    -5.32498
      0.004          0.  -1.322E-06   -18.50473   -18.50473       0.502       0.502     0.43029    -0.57372    52.87066    -1.43429     0.86058    -15.8612    21.14826    -31.7224
      0.006  -2.837E-06  -4.140E-06   -57.96255   -57.96255     1.58898     1.58898     1.36198    -1.81597   165.60728    -4.53994     2.72396   -49.68218    66.24291   -99.36437
      0.008  -6.567E-06  -9.444E-06  -132.21886  -132.21886      3.6775      3.6775     3.15215    -4.20286   377.76816   -10.50715     6.30429  -113.33045   151.10727   -226.6609
       0.01  -1.268E-05  -1.789E-05  -250.52609  -250.52609     7.09874     7.09874     6.08463    -8.11284   715.78884   -20.28211    12.16927  -214.73665   286.31554  -429.47331
      0.012  -2.175E-05  -3.002E-05  -420.25466  -420.25466    12.18154    12.18154    10.44132   -13.92176  1200.72761    -34.8044    20.88264  -360.21828   480.29104  -720.43657
      0.014  -3.438E-05  -4.618E-05  -646.57805  -646.57805     19.2519     19.2519    16.50163   -22.00217  1847.36585   -55.00543    33.00326  -554.20975   738.94634  -1108.4195
      0.016  -5.113E-05  -6.659E-05  -932.25176  -932.25176    28.63237    28.63237    24.54203   -32.72271  2663.57647   -81.80678    49.08407  -799.07294  1065.43059  -1598.1459
      0.018  -7.257E-05  -9.125E-05  -1277.4957  -1277.4957    40.64152    40.64152    34.83559   -46.44746  3649.98759  -116.11864    69.67118  -1094.9963  1459.99504  -2189.9926
       0.02  -9.927E-05  -1.200E-04  -1679.9845  -1679.9845    55.59339    55.59339    47.65147    -63.5353   4799.9557  -158.83824    95.30295  -1439.9867  1919.98228  -2879.9734
      0.022  -1.318E-04  -1.525E-04  -2134.6432  -2134.6432    73.78871    73.78871    63.24747   -84.32996  6098.98071  -210.82489   126.49494  -1829.6942  2439.59228   -3659.388
      0.024  -1.705E-04  -1.881E-04  -2633.5599  -2633.5599    95.50628    95.50628    81.86252  -109.15003  7524.45674  -272.87508   163.72505   -2257.337   3009.7827   -4514.674
      0.026  -2.161E-04  -2.262E-04   -3166.627   -3166.627   121.01057   121.01057   103.72335   -138.2978   9047.5067   -345.7445    207.4467   -2714.252  3619.00268   -5428.504
      0.028  -2.689E-04  -2.659E-04    -3722.28    -3722.28   150.55956   150.55956   129.05105  -172.06807  10635.0847  -430.17018   258.10211   -3190.525  4254.03389   -6381.051
       0.03  -3.293E-04  -3.063E-04   -4287.986   -4287.986   184.40422   184.40422   158.06076  -210.74768  12251.3881  -526.86919   316.12152   -3675.416  4900.55523   -7350.833
      0.032  -3.978E-04  -3.465E-04   -4850.785   -4850.785    222.7881    222.7881   190.96123  -254.61497  13859.3867  -636.53742   381.92245   -4157.816  5543.75469   -8315.632
      0.034  -4.749E-04  -3.856E-04   -5397.842   -5397.842   265.94692   265.94692    227.9545  -303.93933  15422.4055  -759.84834     455.909   -4626.722   6168.9622   -9253.443
      0.036  -5.609E-04  -4.226E-04   -5916.992   -5916.992   314.10816   314.10816   269.23556  -358.98075  16905.6909  -897.45188   538.47113   -5071.707  6762.27636  -10143.415
      0.038  -6.562E-04  -4.569E-04   -6397.264   -6397.264   367.49065   367.49065   314.99199  -419.98932  18277.8959  -1049.9733   629.98398   -5483.369  7311.15838  -10966.738
       0.04  -7.613E-04  -4.878E-04   -6829.347   -6829.347   426.30423   426.30423   365.40362  -487.20483  19512.4195  -1218.0121   730.80725   -5853.726   7804.9678  -11707.452
      0.042  -8.764E-04  -5.148E-04   -7207.376   -7207.376   490.78668   490.78668   420.67429  -560.89906  20592.5037  -1402.2476   841.34859   -6177.751  8237.00147  -12355.502
      0.044      -0.001  -5.379E-04   -7530.569   -7530.569   561.24071   561.24071   481.06347  -641.41796  21515.9109  -1603.5449   962.12694   -6454.773  8606.36438  -12909.547
      0.046    -0.00114  -5.573E-04   -7801.871   -7801.871   637.99609   637.99609   546.85379  -729.13839  22291.0586   -1822.846  1093.70759   -6687.318  8916.42344  -13374.635
      0.048    -0.00129  -5.733E-04   -8026.444   -8026.444   721.37169   721.37169   618.31859  -824.42479  22932.6982   -2061.062  1236.63718   -6879.809  9173.07928  -13759.619
       0.05    -0.00145  -5.865E-04    -8211.45    -8211.45   811.67495   811.67495   695.72139  -927.62851  23461.2853  -2319.0713  1391.44277   -7038.386  9384.51412  -14076.771
      0.052    -0.00162  -5.976E-04   -8365.737   -8365.737   909.20135   909.20135   779.31545  -1039.0873  23902.1055  -2597.7182  1558.63089   -7170.632   9560.8422  -14341.263
      0.054    -0.00181  -6.071E-04   -8499.468   -8499.468  1014.23391  1014.23391   869.34335  -1159.1245  24284.1941  -2897.8112   1738.6867   -7285.258  9713.67765  -14570.516
      0.056    -0.00201  -6.160E-04   -8623.684   -8623.684  1127.04267  1127.04267   966.03657  -1288.0488  24639.0958   -3220.122  1932.07315   -7391.729  9855.63833  -14783.457
      0.058    -0.00223  -6.250E-04   -8749.831   -8749.831  1247.88426  1247.88426  1069.61508  -1426.1534  24999.5167   -3565.384  2139.23015   -7499.855  9999.80669   -14999.71
       0.06    -0.00246  -6.349E-04   -8889.274   -8889.274  1377.00142  1377.00142  1180.28693  -1573.7159  25397.9271    -3934.29  2360.57386   -7619.378  10159.1709  -15238.756
      0.062     -0.0027  -6.463E-04   -9048.086   -9048.086  1514.49531  1514.49531  1298.13884  -1730.8518   25851.673   -4327.129  2596.27767   -7755.502  10340.6692  -15511.004
      0.064    -0.00296  -6.587E-04   -9222.057   -9222.057  1660.19797  1660.19797  1423.02683  -1897.3691  26348.7336   -4743.423  2846.05366    -7904.62  10539.4934   -15809.24
      0.066    -0.00324  -6.715E-04   -9401.608   -9401.608  1813.79996  1813.79996  1554.68568  -2072.9142   26861.736   -5182.286  3109.37135   -8058.521  10744.6944  -16117.042
      0.068    -0.00353  -6.841E-04   -9576.919   -9576.919  1974.97818  1974.97818  1692.83844  -2257.1179  27362.6266   -5642.795  3385.67688   -8208.788  10945.0506  -16417.576
       0.07    -0.00383  -6.956E-04   -9738.354   -9738.354  2143.39648  2143.39648  1837.19698   -2449.596  27823.8689    -6123.99  3674.39397   -8347.161  11129.5475  -16694.321
      0.072    -0.00414  -7.055E-04   -9876.867   -9876.867  2318.70619  2318.70619  1987.46245  -2649.9499  28219.6205   -6624.875   3974.9249   -8465.886  11287.8482  -16931.772
      0.074    -0.00447  -7.132E-04   -9984.393   -9984.393  2500.54674  2500.54674  2143.32578  -2857.7677  28526.8369   -7144.419  4286.65155   -8558.051  11410.7348  -17116.102
      0.076     -0.0048  -7.182E-04   -10054.19   -10054.19  2688.54628  2688.54628  2304.46824  -3072.6243  28726.2564   -7681.561  4608.93648   -8617.877  11490.5026  -17235.754
      0.078    -0.00515  -7.201E-04  -10081.128  -10081.128  2882.32235  2882.32235  2470.56201   -3294.083  28803.2226   -8235.207  4941.12402   -8640.967   11521.289  -17281.934
       0.08     -0.0055  -7.187E-04  -10061.909  -10061.909  3081.48247  3081.48247  2641.27069   -3521.694  28748.3107   -8804.236  5282.54138   -8624.493  11499.3243  -17248.986
      0.082    -0.00587  -7.141E-04   -9998.062   -9998.062  3285.70188  3285.70188   2816.3159   -3755.088  28565.8921    -9387.72   5632.6318   -8569.768  11426.3569  -17139.535
      0.084    -0.00624  -7.071E-04   -9898.738   -9898.738  3494.80098  3494.80098   2995.5437   -3994.058  28282.1089   -9985.146   5991.0874   -8484.633  11312.8436  -16969.265
      0.086    -0.00662  -6.984E-04   -9777.458   -9777.458  3708.66872  3708.66872   3178.8589   -4238.479  27935.5953  -10596.196   6357.7178   -8380.679  11174.2381  -16761.357
      0.088    -0.00701  -6.892E-04   -9648.683   -9648.683   3927.1858   3927.1858  3366.15926   -4488.212  27567.6657  -11220.531  6732.31851     -8270.3  11027.0663  -16540.599
       0.09    -0.00741  -6.805E-04   -9527.192   -9527.192  4150.22491  4150.22491  3557.33564   -4743.114  27220.5493  -11857.785  7114.67127   -8166.165  10888.2197   -16332.33
      0.092    -0.00782  -6.734E-04   -9427.455   -9427.455  4377.65092  4377.65092  3752.27222    -5003.03  26935.5864  -12507.574  7504.54444   -8080.676  10774.2346  -16161.352
      0.094    -0.00823  -6.688E-04   -9363.012   -9363.012  4609.32114  4609.32114  3950.84669   -5267.796  26751.4616  -13169.489  7901.69339   -8025.438  10700.5846  -16050.877
      0.096    -0.00865  -6.676E-04   -9345.893   -9345.893  4845.08554  4845.08554  4152.93047   -5537.241  26702.5513  -13843.102  8305.86093   -8010.765  10681.0205  -16021.531
      0.098    -0.00908  -6.704E-04   -9386.109   -9386.109  5084.78702  5084.78702  4358.38888   -5811.185  26817.4551  -14527.963  8716.77775   -8045.237   10726.982  -16090.473
        0.1    -0.00951  -6.779E-04   -9491.221   -9491.221  5328.26169  5328.26169  4567.08145   -6089.442  27117.7737  -15223.605  9134.16289   -8135.332  10847.1095  -16270.664
      0.102    -0.00996  -6.902E-04   -9663.478   -9663.478  5575.27077  5575.27077  4778.80351   -6371.738  27609.9363  -15929.345  9557.60703   -8282.981  11043.9745  -16565.962
      0.104     -0.0104  -7.069E-04   -9897.187   -9897.187  5825.43264  5825.43264  4993.22798   -6657.637  28277.6763  -16644.093  9986.45596   -8483.303  11311.0705  -16966.606
      0.106    -0.01085  -7.272E-04  -10181.491  -10181.491  6078.29189  6078.29189  5209.96448   -6946.619  29089.9756  -17366.548   10419.929   -8726.993  11635.9902  -17453.985
      0.108    -0.01131  -7.502E-04  -10503.374  -10503.374  6333.38844  6333.38844  5428.61866   -7238.158  30009.6398  -18095.396  10857.2373   -9002.892  12003.8559  -18005.784
       0.11    -0.01177  -7.749E-04  -10848.211  -10848.211  6590.25835  6590.25835  5648.79287   -7531.724  30994.8878   -18829.31  11297.5857   -9298.466  12397.9551  -18596.933
      0.112    -0.01223  -8.000E-04  -11200.398  -11200.398   6848.4346   6848.4346   5870.0868   -7826.782   32001.136  -19566.956  11740.1736   -9600.341  12800.4545  -19200.682
      0.114    -0.01269  -8.246E-04  -11544.017  -11544.017  7107.44794  7107.44794  6092.09824   -8122.798   32982.905  -20306.994  12184.1965   -9894.871  13193.1618  -19789.743
      0.116    -0.01316  -8.474E-04  -11863.515  -11863.515  7366.82767  7366.82767  6314.42372   -8419.232   33895.758  -21048.079  12628.8474  -10168.728  13558.3033  -20337.455
      0.118    -0.01362  -8.675E-04  -12144.373  -12144.373  7626.10244  7626.10244  6536.65924   -8715.546   34698.207  -21788.864  13073.3185  -10409.462  13879.2829  -20818.924
       0.12    -0.01408  -8.838E-04  -12373.717  -12373.717  7884.80111  7884.80111  6758.40095   -9011.201   35353.478  -22528.003  13516.8019  -10606.043  14141.3912  -21212.087
