 
 SAP2000 v24.1.0 File: 3D-SIMPLE-BEAM-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  dynamic-inelastic-0.02
 FUNCTION  disp-1-y:  Joint 1  Displacement  UY    
 FUNCTION  disp-1-z:  Joint 1  Displacement  UZ    
 FUNCTION  shear22-0-0:  Frame 0  Station 1  Shear 2-2    
 FUNCTION  shear22-0-1:  Frame 0  Station 5  Shear 2-2    
 FUNCTION  shear33-0-1:  Frame 0  Station 5  Shear 3-3    
 FUNCTION  shear33-0-0:  Frame 0  Station 1  Shear 3-3    
 FUNCTION  moment22-0-0:  Frame 0  Station 1  Moment 2-2    
 FUNCTION  moment22-0-1:  Frame 0  Station 5  Moment 2-2    
 FUNCTION  shear22-1-1:  Frame 1  Station 3  Shear 2-2    
 FUNCTION  shear33-1-1:  Frame 1  Station 3  Shear 3-3    
 FUNCTION  moment22-1-1:  Frame 1  Station 3  Moment 2-2    
 FUNCTION  moment33-0-0:  Frame 0  Station 1  Moment 3-3    
 FUNCTION  moment33-0-1:  Frame 0  Station 5  Moment 3-3    
 FUNCTION  moment33-1-1:  Frame 1  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-y    disp-1-z shear22-0-0 shear22-0-1 shear33-0-1 shear33-0-0 moment22-0- moment22-0- shear22-1-1 shear33-1-1 moment22-1- moment33-0- moment33-0- moment33-1-
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
       0.02  -1.433E-04  -1.078E-04  -1509.7755  -1509.7755    80.26126    80.26126    68.79537   -91.72716   4313.6442  -229.31789   137.59074  -1294.0933  1725.45768  -2588.1865
       0.04  -8.222E-04  -4.125E-04   -5775.693   -5775.693   460.42058   460.42058   394.64621  -526.19495  16501.9793  -1315.4874   789.29242   -4950.594  6600.79171   -9901.188
       0.06    -0.00252  -7.292E-04  -10208.796  -10208.796  1410.82443  1410.82443  1209.27809  -1612.3708  29167.9878   -4030.927  2418.55617   -8750.396  11667.1951  -17500.793
       0.08    -0.00544  -7.697E-04  -10776.037  -10776.037  3049.07931  3049.07931  2613.49655   -3484.662  30788.6781   -8711.655   5226.9931   -9236.603  12315.4712  -18473.207
        0.1    -0.00936  -6.386E-04    -8940.81    -8940.81  5244.32183  5244.32183    4495.133   -5993.511  25545.1715  -14983.777    8990.266   -7663.551  10218.0686  -15327.103
       0.12    -0.01381  -7.430E-04  -10402.146  -10402.146  7733.41169  7733.41169   6628.6386   -8838.185  29720.4178  -22095.462  13257.2772   -8916.125  11888.1671  -17832.251
       0.14    -0.01809  -9.687E-04  -12504.099  -12504.099  9921.31124  9921.31124  8544.27606  -11298.346  30287.1428  -27258.833  15960.4215  -10919.274  14088.9239  -16197.895
       0.16    -0.02152    -0.00107  -12463.108  -12463.108  11556.5996  11556.5996  9999.58718  -13113.612  22928.2827  -30482.737  17369.1248  -11152.315  13773.8998   -9154.383
       0.18    -0.02361     -0.0012  -13324.695  -13324.695   12528.226   12528.226  10870.1222   -14186.33  20298.7835   -32240.58   18054.247  -12079.381  14570.0088   -5728.775
        0.2    -0.02399     -0.0013  -14426.602  -14426.602  12681.0267  12681.0267  11013.3909  -14348.663  21785.8598    -32344.9  17996.3208  -13085.356  15767.8479   -6018.407
       0.22    -0.02253     -0.0012  -12979.729  -12979.729  11863.7202  11863.7202  10312.8392  -13414.601  17651.3495  -30009.625  16595.1717  -11845.162   14114.295   -3537.792
       0.24    -0.01931      -0.001  -10273.901  -10273.901  10058.4395  10058.4395  8765.46996  -11351.409  9922.98363  -24852.194  13500.6331   -9525.953  11021.8497  1099.62739
       0.26    -0.01444  -8.067E-04   -7515.112   -7515.112  7329.70922  7329.70922  6426.55106   -8232.867  2039.42276  -17055.561  8822.69381    -7161.24  7868.98364  5829.56088
       0.28    -0.00818  -6.035E-04   -4670.823   -4670.823  3822.98091  3822.98091  3420.78393   -4225.178   -6087.118   -7036.337  2811.15957   -4723.278  4618.36742  10705.4852
        0.3    -0.00119  -5.367E-04   -3735.161   -3735.161   -89.01622   -89.01622    67.64354   245.67598   -8760.436  4140.79721   -3895.121   -3921.283  3549.04012  12309.4762
       0.32     0.00566  -5.205E-04   -3508.046   -3508.046   -3925.583   -3925.583   -3220.842  4630.32385   -9409.337  15102.4169  -10472.093   -3726.613  3289.47992  12698.8165
       0.34     0.01153  -3.677E-04  -1436.6695  -1436.6695   -7199.257   -7199.257   -6029.419  8369.09551  -14979.063  24386.0727  -16017.079  -1938.2963   935.04278  15914.6152
       0.36     0.01563  -1.327E-04   -46.32452   -46.32452   -9116.677   -9116.677   -7745.302   10488.052   -9180.438  27910.2066  -17422.237  -384.67097  -292.02194  8888.82966
       0.38     0.01769   3.266E-04   4816.4951   4816.4951   -9954.569   -9954.569   -8523.165  11385.9728  -15015.787  28692.5003  -17306.805  4081.81199   -5551.178  9465.99601
        0.4      0.0177   6.562E-04   8833.2848   8833.2848   -9841.808   -9841.808   -8449.302  11234.3152  -23420.073  27755.8758  -16521.561    7638.716  -10027.854  13392.2194
       0.42     0.01577   4.154E-04  5461.70905  5461.70905   -8760.074   -8760.074   -7522.101  9998.04748  -13786.999  24665.2065  -14667.159  4748.79392   -6174.624  7612.37522
       0.44     0.01246   4.218E-04  5551.66229  5551.66229   -6906.463   -6906.463   -5933.292  7879.63515  -14044.009  19369.1757  -11489.541   4825.8967   -6277.428  7766.58077
       0.46     0.00865   9.257E-04  12605.9322  12605.9322   -4770.858   -4770.858   -4102.773  5438.94369   -34199.07   13267.447   -7828.503  10872.4138  -14339.451  19859.6149
       0.48     0.00484   4.493E-04  5936.92892  5936.92892  -2637.0383  -2637.0383  -2273.7843  3000.29224   -15144.77  7170.81838   -4170.526  5156.12524   -6717.733  8427.03786
        0.5     0.00147   9.335E-05   953.18589   953.18589  -751.65167  -751.65167  -657.75031   845.55303   -907.6008   1784.4187  -938.62112   884.40373  -1021.9681  -115.59001
       0.52  -7.574E-04   9.006E-04  12255.3215  12255.3215   494.85741   494.85741   410.68992   -579.0249   -33198.72  -1777.1753  1198.31359  10571.9291  -13938.714  19259.1895
       0.54    -0.00178   3.700E-04  4826.74622  4826.74622   1065.1286   1065.1286   899.50156  -1230.7556   -11972.82   -3406.801  2176.04566  4204.54007   -5448.952  6523.86751
       0.56    -0.00166  -2.650E-04   -4063.837   -4063.837  1002.13273  1002.13273    845.5051  -1158.7604  13428.8465   -3226.813  2068.05274    -3415.96  4711.71418   -8717.132
       0.58  -6.559E-04   6.084E-04  8163.61561  8163.61561   437.97159   437.97159   361.93841  -514.00476  -21506.732  -1614.9241  1100.91935  7064.71383   -9262.517   12244.215
        0.6   7.166E-04   8.621E-05   853.45077   853.45077  -330.61641  -330.61641   -296.8513   364.38153  -620.54716    581.0416  -216.66008   798.85825  -908.04328  -287.49612
       0.62     0.00192  -6.133E-04    -8939.75    -8939.75  -1006.5185  -1006.5185  -876.19598   1136.8411  27360.0275  2512.19054  -1375.3494   -7595.314  10284.1866  -17075.841
       0.64     0.00258   4.041E-04  5303.52565  5303.52565  -1374.4693  -1374.4693  -1191.5824   1557.3563  -13335.047  3563.47854  -2006.1222  4613.20815   -5993.843  7341.20368
       0.66     0.00288   4.421E-04  5836.58311  5836.58311  -1543.2983  -1543.2983  -1336.2929  1750.30371  -14858.068  4045.84706  -2295.5434  5070.11454   -6603.052  8255.01646
       0.68     0.00332  -5.008E-05  -1054.5462  -1054.5462  -1789.9923  -1789.9923  -1547.7449  2032.23972  4830.87284  4750.68708  -2718.4474  -836.56775  1272.52472   -3558.348
        0.7     0.00435   9.273E-04  12628.8653  12628.8653  -2365.4123  -2365.4123  -2040.9621  2689.86256   -34264.59   6394.7442   -3704.882  10892.0707   -14365.66  19898.9287
       0.72     0.00618   8.771E-04  11926.5395  11926.5395   -3387.708   -3387.708  -2917.2157  3858.20066   -32257.94  9315.58944   -5457.389  10290.0772  -13563.002  18694.9418
       0.74     0.00849  -6.166E-05  -1216.6676  -1216.6676   -4686.035   -4686.035   -4030.067  5342.00272  5294.07674  13025.0946   -7683.092  -975.52892  1457.80628    -3836.27
       0.76     0.01054   5.786E-04  7746.39464  7746.39464   -5833.793   -5833.793    -5013.86   6653.7262  -20314.673  16304.4033   -9650.677  6707.09585   -8785.693  11528.9791
       0.78     0.01234     0.00121  16645.2285  16645.2285   -6841.276   -6841.276   -5877.417  7805.13515   -45739.91  19182.9257  -11377.791  14334.6677  -18955.789  26784.1228
        0.8     0.01358  -3.268E-05  -811.03644  -811.03644   -7533.756   -7533.756   -6470.971  8596.54147  4135.13057  21161.4415    -12564.9  -627.84507   994.22781  -3140.9028
       0.82     0.01366   1.438E-04  1660.35562  1660.35562    -7577.17    -7577.17   -6508.176  8646.16404  -2924.7069  21285.2235  -12639.209  1490.45535  -1830.2559  1095.19924
       0.84     0.01204   6.733E-04  9072.55351  9072.55351   -6671.127   -6671.127   -5731.575  7610.67937  -24103.698  18696.7862  -11086.107  7843.80346  -10301.304  13802.3943
       0.86     0.00842  -6.226E-04   -9069.213   -9069.213   -4645.305   -4645.305   -3995.156  5295.45452  27729.9198  12908.7241    -7613.27   -7706.282  10432.1435  -17297.776
       0.88     0.00284  -4.989E-04   -7338.472   -7338.472  -1519.8894  -1519.8894  -1316.2281  1723.55064  22784.9471  3978.96439  -2255.4137    -6222.79  8454.15441  -14330.793
        0.9    -0.00428   1.306E-04  1475.27465  1475.27465  2465.87665  2465.87665  2100.14275  -2831.6105  -2397.1868   -7408.939  4577.32803  1331.85015  -1618.6992   778.48768
       0.92    -0.01213    -0.00104  -14886.889  -14886.889  6865.80601  6865.80601  5871.51077   -7860.101   44351.853  -19980.165  12120.0641  -12692.862  17080.9169  -27270.936
       0.94    -0.01971    -0.00101  -12485.147  -12485.147  10692.0495  10692.0495  9230.20367  -12153.895  26820.3212  -28778.407  16624.3058  -11029.504  13940.7907  -12878.499
       0.96    -0.02604  -7.177E-04   -7465.955   -7465.955  13892.2457  13892.2457  12038.7248  -15745.767  8055.19187   -36152.82   20407.051   -6891.097  8040.81196   -14.37991
       0.98    -0.02808    -0.00101  -10529.781  -10529.781  14732.6456  14732.6456  12816.9713   -16648.32   11344.782    -36989.3   20341.401   -9719.379  11340.1834    -6.69777
