 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Linear-modal-0.002
 FUNCTION  disp-z-1:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-z-1  moment-0-0  moment-0-1  moment-1-1
         0.          0.          0.          0.          0.
      0.002  -1.049E-06   -12.59315    16.79087   -25.18631
      0.004  -8.298E-06   -99.58093   132.77458  -199.16187
      0.006  -2.757E-05  -330.78847    441.0513  -661.57695
      0.008  -6.404E-05   -768.4631  1024.61747  -1536.9262
       0.01  -1.221E-04  -1464.7793  1953.03907  -2929.5586
      0.012  -2.050E-04   -2459.824  3279.76534   -4919.648
      0.014  -3.150E-04   -3780.138  5040.18401   -7560.276
      0.016  -4.532E-04   -5437.864  7250.48576  -10875.729
      0.018  -6.192E-04   -7430.527  9907.36958  -14861.054
       0.02  -8.118E-04   -9741.438  12988.5842  -19482.876
      0.022    -0.00103  -12339.466  16452.6217  -24678.932
      0.024    -0.00126  -15176.999  20235.9988  -30353.998
      0.026    -0.00152  -18195.984  24261.3117   -36391.97
      0.028    -0.00178  -21331.834  28442.4456   -42663.67
       0.03    -0.00204  -24516.316   32688.421   -49032.63
      0.032    -0.00231  -27680.526   36907.368   -55361.05
      0.034    -0.00256  -30757.843   41010.457   -61515.69
      0.036    -0.00281   -33686.72   44915.621   -67373.43
      0.038    -0.00303   -36413.18   48550.906   -72826.36
       0.04    -0.00324     -38893.   51857.335     -77786.
      0.042    -0.00342   -41098.98   54798.639   -82197.96
      0.044    -0.00359   -43038.45   57384.604   -86076.91
      0.046    -0.00373   -44735.52   59647.361   -89471.04
      0.048    -0.00385   -46224.11   61632.146   -92448.22
       0.05    -0.00396   -47546.33   63395.101   -95092.65
      0.052    -0.00406   -48750.49    65000.66   -97500.99
      0.054    -0.00416   -49888.98   66518.637   -99777.95
      0.056    -0.00425   -51015.85   68021.137  -102031.71
      0.058    -0.00435   -52184.58   69579.444  -104369.17
       0.06    -0.00445   -53445.75   71260.997   -106891.5
      0.062    -0.00457   -54825.79   73101.057  -109651.59
      0.064    -0.00469   -56269.49   75025.983  -112538.97
      0.066    -0.00481   -57701.07   76934.756  -115402.13
      0.068    -0.00492   -59046.84   78729.122  -118093.68
       0.07    -0.00502   -60238.29   80317.719  -120476.58
      0.072     -0.0051   -61214.87   81619.829  -122429.74
      0.074    -0.00516   -61926.44   82568.592  -123852.89
      0.076    -0.00519   -62335.18   83113.572  -124670.36
      0.078     -0.0052   -62416.92   83222.566  -124833.85
       0.08    -0.00518   -62161.95   82882.599   -124323.9
      0.082    -0.00513   -61586.64   82115.525  -123173.29
      0.084    -0.00506   -60766.69   81022.249  -121533.37
      0.086    -0.00498   -59798.08   79730.774  -119596.16
      0.088     -0.0049   -58781.18    78374.91  -117562.36
       0.09    -0.00482   -57816.34   77088.457  -115632.69
      0.092    -0.00475   -56999.63   75999.509  -113999.26
      0.094     -0.0047   -56418.83   75225.113  -112837.67
      0.096    -0.00468   -56149.88   74866.513  -112299.77
      0.098    -0.00469   -56253.87   75005.164  -112507.75
        0.1    -0.00473   -56774.75   75699.672  -113549.51
      0.102    -0.00481   -57727.53   76970.046  -115455.07
      0.104    -0.00492   -59067.67   78756.898  -118135.35
      0.106    -0.00506   -60724.87   80966.494  -121449.74
      0.108    -0.00522   -62616.77   83489.023  -125233.53
       0.11    -0.00539    -64652.7   86203.604  -129305.41
      0.112    -0.00556   -66737.75   88983.668   -133475.5
      0.114    -0.00573   -68776.84   91702.457  -137553.69
      0.116    -0.00589   -70678.82    94238.43  -141357.64
      0.118    -0.00603   -72360.25   96480.332   -144720.5
       0.12    -0.00615   -73748.79   98331.719  -147497.58
      0.122    -0.00623   -74780.61   99707.479  -149561.22
      0.124    -0.00628    -75386.7  100515.595  -150773.39
      0.126    -0.00629   -75512.18  100682.909  -151024.36
      0.128    -0.00626   -75123.79  100165.056  -150247.58
       0.13    -0.00618   -74210.82   98947.764  -148421.65
      0.132    -0.00607   -72785.13   97046.841  -145570.26
      0.134    -0.00591   -70880.16   94506.879  -141760.32
      0.136    -0.00571   -68549.08   91398.773  -137098.16
      0.138    -0.00549   -65862.11    87816.15  -131724.22
       0.14    -0.00524   -62903.19   83870.921  -125806.38
      0.142    -0.00498   -59776.03   79701.372  -119552.06
      0.144    -0.00472   -56628.78   75505.038  -113257.56
      0.146    -0.00447   -53617.22   71489.629  -107234.44
      0.148    -0.00424   -50888.16   67850.881  -101776.32
       0.15    -0.00405   -48573.34    64764.46   -97146.69
      0.152     -0.0039   -46784.17     62378.9   -93568.35
      0.154     -0.0038   -45607.37   60809.832   -91214.75
      0.156    -0.00376    -45101.8   60135.738   -90203.61
      0.158    -0.00377   -45296.53   60395.374   -90593.06
       0.16    -0.00385    -46190.2   61586.934    -92380.4
      0.162    -0.00398   -47740.85   63654.473   -95481.71
      0.164    -0.00415   -49836.28   66448.368   -99672.55
      0.166    -0.00436    -52332.6   69776.805  -104665.21
      0.168    -0.00459   -55071.86   73429.146  -110143.72
       0.17    -0.00482   -57888.97   77185.296  -115777.94
      0.172    -0.00505   -60618.95   80825.263  -121237.89
      0.174    -0.00526    -63103.9   84138.528  -126207.79
      0.176    -0.00543   -65199.61   86932.815  -130399.22
      0.178    -0.00557   -66781.43   89041.903  -133562.85
       0.18    -0.00565   -67749.13    90332.17  -135498.26
      0.182    -0.00567   -68035.96   90714.614  -136071.92
      0.184    -0.00564   -67626.39    90168.52  -135252.78
      0.186    -0.00555   -66540.05   88720.073  -133080.11
      0.188     -0.0054   -64825.01   86433.345  -129650.02
       0.19    -0.00521   -62555.09    83406.79  -125110.18
      0.192    -0.00499   -59826.26   79768.343  -119652.51
      0.194    -0.00473   -56752.03   75669.368  -113504.05
      0.196    -0.00445   -53458.29   71277.724  -106916.59
      0.198    -0.00417   -50077.71   66770.286  -100155.43
        0.2     -0.0039   -46743.91   62325.218   -93487.83
      0.202    -0.00363   -43586.92   58115.895   -87173.84
