 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-INELASTIC-1PHASE-LL0.67  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Nonlinear - 0.002
 FUNCTION  disp-1-z:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-z  moment-0-0  moment-0-1  moment-1-1
         0.          0.          0.          0.          0.
      0.002  -1.420E-06   -17.04131    22.72175   -34.08262
      0.004  -8.432E-06  -101.18891   134.91855  -202.37782
      0.006  -2.631E-05  -315.71721   420.95628  -631.43443
      0.008  -5.976E-05  -717.13016   956.17354  -1434.2603
       0.01  -1.127E-04  -1352.9054  1803.87387  -2705.8108
      0.012  -1.883E-04  -2259.6651  3012.88682    -4519.33
      0.014  -2.885E-04   -3461.842  4615.78956   -6923.684
      0.016  -4.142E-04   -4970.889  6627.85137   -9941.777
      0.018  -5.654E-04   -6785.048  9046.73108  -13570.097
       0.02  -7.408E-04   -8889.694  11852.9255  -17779.388
      0.022  -9.380E-04  -11256.533  15008.7107  -22513.066
      0.024    -0.00115  -13843.406  18457.8752  -27686.813
      0.026    -0.00138  -16598.016  22130.6885   -33196.03
      0.028    -0.00162  -19462.007  25949.3431   -38924.01
       0.03    -0.00186  -22373.555  29831.4063   -44747.11
      0.032    -0.00211  -25270.049   33693.398    -50540.1
      0.034    -0.00234  -28090.759   37454.345   -56181.52
      0.036    -0.00256  -30779.364   41039.152   -61558.73
      0.038    -0.00277   -33286.25   44381.668    -66572.5
       0.04    -0.00296   -35570.47   47427.299   -71140.95
      0.042    -0.00313   -37608.93   50145.237   -75217.86
      0.044    -0.00328   -39404.57   52539.427   -78809.14
      0.046    -0.00341   -40978.18   54637.572   -81956.36
      0.048    -0.00353   -42359.51   56479.348   -84719.02
       0.05    -0.00363   -43585.87   58114.488   -87171.73
      0.052    -0.00373   -44700.36   59600.479   -89400.72
      0.054    -0.00381   -45749.98   60999.977   -91499.96
      0.056     -0.0039   -46783.54   62378.053   -93567.08
      0.058    -0.00399   -47849.54   63799.393   -95699.09
       0.06    -0.00408   -48827.24   64987.579     -96000.
      0.062    -0.00419   -49831.94   66149.112     -96000.
      0.064     -0.0043   -50949.09   67462.136     -96000.
      0.066    -0.00443   -52105.97   68806.287     -96000.
      0.068    -0.00455   -53302.89   70207.531     -96000.
       0.07    -0.00467   -54486.83   71585.155     -96000.
      0.072    -0.00479   -55644.89   72938.017   -96000.01
      0.074    -0.00491   -56736.24   74208.268   -96000.01
      0.076    -0.00501   -57743.12   75382.767   -96000.01
      0.078    -0.00511   -58634.03   76419.217   -96000.01
       0.08    -0.00519   -59391.51   77301.419   -96000.01
      0.082    -0.00525   -60005.36   78014.803   -96000.01
      0.084     -0.0053   -60499.54   78590.062   -96000.01
      0.086    -0.00534   -60907.14   79064.175   -96000.01
      0.088    -0.00538   -61265.35   79481.755   -96000.01
       0.09    -0.00542   -61609.03   79882.562   -96000.01
      0.092    -0.00545   -61974.36   80309.454   -96000.01
      0.094     -0.0055   -62395.09   80801.309   -96000.01
      0.096    -0.00555   -62904.32   81397.075   -96000.01
      0.098    -0.00562   -63532.27   82131.692   -96000.01
        0.1     -0.0057   -64307.03   83038.097   -96000.01
      0.102    -0.00579   -65241.67   84131.033   -96000.01
      0.104    -0.00591   -66324.05    85396.01   -96000.01
      0.106    -0.00603   -67528.78   86803.278   -96000.01
      0.108    -0.00617   -68829.11   88321.674   -96000.02
       0.11    -0.00631   -70197.05   89918.474   -96000.02
      0.112    -0.00646   -71604.13   91560.506   -96000.02
      0.114     -0.0066   -73021.71   93214.337   -96000.02
      0.116    -0.00675   -74420.89   94845.632   -96000.02
      0.118    -0.00689   -75563.63      96000.   -96000.02
       0.12    -0.00703   -76103.59   96000.001   -96000.02
      0.122    -0.00715   -76611.86   96000.001   -96000.02
      0.124    -0.00727   -77079.15   96000.002   -96000.02
      0.126    -0.00737   -77493.99   96000.002   -96000.02
      0.128    -0.00746   -77845.19   96000.002   -96000.02
       0.13    -0.00753   -78121.92   96000.003   -96000.02
      0.132    -0.00758   -78313.66   96000.003   -96000.02
      0.134     -0.0076   -78410.27   96000.003   -96000.02
      0.136     -0.0076    -78388.7    95973.23   -95944.92
      0.138    -0.00757     -78024.   95485.849   -95222.22
       0.14    -0.00751   -77308.48   94530.693   -93797.94
      0.142    -0.00742   -76260.69   93134.081   -91699.69
      0.144    -0.00731   -74934.03    91364.86   -89048.44
      0.146    -0.00719    -73411.6   89335.217   -86001.97
      0.148    -0.00705   -71779.46   87158.822   -82738.94
       0.15    -0.00691   -70129.44   84958.965   -79437.94
      0.152    -0.00678   -68550.13   82853.085   -76280.06
      0.154    -0.00666   -67127.04    80955.73    -73433.3
      0.156    -0.00656   -65936.07   79367.703   -71051.82
      0.158    -0.00649   -65042.84   78176.781     -69265.
       0.16    -0.00644   -64498.24   77450.605   -68176.08
      0.162    -0.00643   -64323.35   77217.449   -67826.08
      0.164    -0.00644   -64493.28      77444.   -68166.11
      0.166    -0.00648   -64954.74   78059.303   -69088.91
      0.168    -0.00654   -65642.86   78976.785   -70465.25
       0.17    -0.00661   -66484.71   80099.259   -72148.87
      0.172    -0.00669   -67402.11   81322.447   -73983.72
      0.174    -0.00676   -68315.38   82540.148   -75810.22
      0.176    -0.00683   -69146.49   83648.293   -77472.48
      0.178    -0.00689   -69822.52   84549.672   -78824.51
       0.18    -0.00692   -70278.49   85157.625   -79736.47
      0.182    -0.00694   -70467.17   85409.195   -80113.81
      0.184    -0.00693   -70367.74   85276.621   -79914.96
      0.186     -0.0069   -69979.12   84758.472   -79137.72
      0.188    -0.00684   -69312.48   83869.614   -77804.45
       0.19    -0.00677   -68390.52   82640.329   -75960.51
      0.192    -0.00667   -67246.28   81114.676   -73672.04
      0.194    -0.00656   -65921.57   79348.395   -71022.61
      0.196    -0.00644   -64464.98   77406.283   -68109.45
      0.198    -0.00631   -62929.75     75359.3   -65038.97
        0.2    -0.00618   -61371.34   73281.428   -61922.16
      0.202    -0.00606   -59846.69   71248.558   -58872.86
