 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-INELASTIC-1PHASE-LL1  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Nonlinear - 0.002
 FUNCTION  disp-1-z:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-z  moment-0-0  moment-0-1  moment-1-1
         0.          0.          0.          0.          0.
      0.002  -1.420E-06   -17.04133    22.72177   -34.08265
      0.004  -8.432E-06  -101.18901   134.91868  -202.37802
      0.006  -2.631E-05  -315.71753   420.95671  -631.43506
      0.008  -5.976E-05  -717.13087    956.1745  -1434.2617
       0.01  -1.127E-04  -1352.9068  1803.87568  -2705.8135
      0.012  -1.883E-04  -2259.6674  3012.88983   -4519.335
      0.014  -2.885E-04   -3461.846  4615.79418   -6923.691
      0.016  -4.142E-04   -4970.894    6627.858   -9941.787
      0.018  -5.654E-04   -6785.055  9046.74013   -13570.11
       0.02  -7.408E-04   -8889.703  11852.9373  -17779.406
      0.022  -9.380E-04  -11256.544  15008.7257  -22513.089
      0.024    -0.00115   -13843.42  18457.8937  -27686.841
      0.026    -0.00138  -16598.033  22130.7106   -33196.07
      0.028    -0.00162  -19462.027  25949.3691   -38924.05
       0.03    -0.00186  -22373.577  29831.4361   -44747.15
      0.032    -0.00211  -25270.074   33693.432   -50540.15
      0.034    -0.00234  -28090.787   37454.382   -56181.57
      0.036    -0.00256  -30779.395   41039.193   -61558.79
      0.038    -0.00277   -33286.28   44381.712   -66572.57
       0.04    -0.00296   -35570.51   47427.346   -71141.02
      0.042    -0.00313   -37608.97   50145.287   -75217.93
      0.044    -0.00328   -39404.61    52539.48   -78809.22
      0.046    -0.00341   -40978.22   54637.627   -81956.44
      0.048    -0.00353   -42359.55   56479.404   -84719.11
       0.05    -0.00363   -43585.91   58114.546   -87171.82
      0.052    -0.00373    -44700.4   59600.538   -89400.81
      0.054    -0.00381   -45750.03   61000.038   -91500.06
      0.056     -0.0039   -46783.59   62378.115   -93567.17
      0.058    -0.00399   -47849.59   63799.457   -95699.19
       0.06    -0.00408   -48827.28   64987.628     -96000.
      0.062    -0.00419   -49831.98   66149.158     -96000.
      0.064     -0.0043   -50949.13   67462.189     -96000.
      0.066    -0.00443   -52106.02   68806.342     -96000.
      0.068    -0.00455   -53302.94   70207.594     -96000.
       0.07    -0.00467   -54486.89   71585.223     -96000.
      0.072    -0.00479   -55644.95   72938.094   -96000.01
      0.074    -0.00491   -56736.31   74208.351   -96000.01
      0.076    -0.00501    -57743.2   75382.859   -96000.01
      0.078    -0.00511   -58634.11   76419.317   -96000.01
       0.08    -0.00519   -59391.61   77301.528   -96000.01
      0.082    -0.00525   -60005.46   78014.921   -96000.01
      0.084     -0.0053   -60499.65   78590.188   -96000.01
      0.086    -0.00534   -60907.25   79064.309   -96000.01
      0.088    -0.00538   -61265.48   79481.896   -96000.01
       0.09    -0.00542   -61609.16   79882.711   -96000.01
      0.092    -0.00545   -61974.49    80309.61   -96000.01
      0.094     -0.0055   -62395.23   80801.471   -96000.01
      0.096    -0.00555   -62904.47   81397.243   -96000.01
      0.098    -0.00562   -63532.41   82131.866   -96000.01
        0.1     -0.0057   -64307.18   83038.275   -96000.01
      0.102    -0.00579   -65241.82   84131.214   -96000.01
      0.104    -0.00591   -66324.21   85396.194   -96000.01
      0.106    -0.00603   -67528.94   86803.465   -96000.01
      0.108    -0.00617   -68829.27   88321.862   -96000.02
       0.11    -0.00631   -70197.21   89918.664   -96000.02
      0.112    -0.00646   -71604.29   91560.696   -96000.02
      0.114     -0.0066   -73021.88   93214.525   -96000.02
      0.116    -0.00675   -74421.05   94845.819   -96000.02
      0.118    -0.00689    -75563.7      96000.   -96000.02
       0.12    -0.00703   -76103.66   96000.001   -96000.02
      0.122    -0.00715   -76611.92   96000.001   -96000.02
      0.124    -0.00727   -77079.22   96000.002   -96000.02
      0.126    -0.00737   -77494.06   96000.002   -96000.02
      0.128    -0.00746   -77845.26   96000.002   -96000.02
       0.13    -0.00753   -78121.98   96000.003   -96000.02
      0.132    -0.00758   -78313.73   96000.003   -96000.02
      0.134     -0.0076   -78410.35   96000.003   -96000.02
      0.136     -0.0076   -78388.78   95973.243   -95944.95
      0.138    -0.00757    -78024.1   95485.881   -95222.27
       0.14    -0.00751   -77308.59   94530.744   -93798.01
      0.142    -0.00742   -76260.81   93134.149   -91699.79
      0.144    -0.00731   -74934.17   91364.945   -89048.57
      0.146    -0.00719   -73411.75   89335.318   -86002.12
      0.148    -0.00705   -71779.62   87158.937   -82739.11
       0.15    -0.00691   -70129.61   84959.091   -79438.13
      0.152    -0.00678    -68550.3    82853.22   -76280.26
      0.154    -0.00666   -67127.21   80955.869   -73433.51
      0.156    -0.00656   -65936.25   79367.844   -71052.03
      0.158    -0.00649   -65043.02    78176.92   -69265.21
       0.16    -0.00644   -64498.41    77450.74   -68176.28
      0.162    -0.00643   -64323.51   77217.576   -67826.27
      0.164    -0.00644   -64493.44   77444.117   -68166.29
      0.166    -0.00648   -64954.89   78059.408   -69089.06
      0.168    -0.00654   -65643.01   78976.876   -70465.39
       0.17    -0.00661   -66484.84   80099.335   -72148.98
      0.172    -0.00669   -67402.23   81322.508   -73983.82
      0.174    -0.00676   -68315.49   82540.194   -75810.29
      0.176    -0.00683   -69146.59   83648.324   -77472.53
      0.178    -0.00689   -69822.61    84549.69   -78824.54
       0.18    -0.00692   -70278.57   85157.632   -79736.48
      0.182    -0.00694   -70467.24   85409.193    -80113.8
      0.184    -0.00693    -70367.8   85276.612   -79914.95
      0.186     -0.0069   -69979.19    84758.46   -79137.71
      0.188    -0.00684   -69312.54     83869.6   -77804.43
       0.19    -0.00677   -68390.58   82640.317   -75960.49
      0.192    -0.00667   -67246.35   81114.668   -73672.03
      0.194    -0.00656   -65921.64   79348.394   -71022.61
      0.196    -0.00644   -64465.06    77406.29   -68109.46
      0.198    -0.00631   -62929.83   75359.318     -65039.
        0.2    -0.00618   -61371.44   73281.457   -61922.21
      0.202    -0.00606   -59846.79     71248.6   -58872.92
