 
 SAP2000 v24.1.0 File: SIMPLE-TORRE-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  inelastic
 FUNCTION  disp-1-z:  Joint 2  Displacement  UZ    
 FUNCTION  accel-1-z:  Joint 2  Acceleration  UZ    
 FUNCTION  moment-0-0:  Frame 1  Station 1  Moment 3-3    
 FUNCTION  Point:  Function  Point    
 FUNCTION  rot-1:  Joint 2  Displacement  RY    
 FUNCTION  accel-rot-1:  Joint 2  Acceleration  RY    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-z   accel-1-z  moment-0-0       Point       rot-1 accel-rot-1
         0.          0.          0.          0.          0.          0.          0.
      0.002          0.    -0.45302    -0.80536   2266.1246          0.     0.22651
      0.004  -2.718E-06    -0.90582    -4.83179   4532.2493   1.359E-06     0.45291
      0.006  -8.606E-06    -1.35819   -15.29884   6798.3739   4.303E-06      0.6791
      0.008  -1.993E-05    -1.80992   -35.42298   9064.4985   9.963E-06     0.90496
       0.01  -3.848E-05    -2.26079   -68.41615   11330.623   1.924E-05      1.1304
      0.012  -6.608E-05    -2.71059  -117.48414   13596.748   3.304E-05      1.3553
      0.014  -1.045E-04    -3.15911  -185.82517   15862.872   5.226E-05     1.57955
      0.016  -1.556E-04    -3.60613   -276.6283   18128.997   7.780E-05     1.80306
      0.018  -2.211E-04    -4.05144  -393.07195   20395.122   1.106E-04     2.02572
       0.02  -3.028E-04    -4.49483   -538.3224   22661.246   1.514E-04     2.24741
      0.022  -4.024E-04    -4.89174  -715.45343   24705.547   2.012E-04     2.44587
      0.024  -5.216E-04    -5.28634  -927.36606   26749.847   2.608E-04     2.64317
      0.026  -6.620E-04    -5.67843   -1176.866   28794.148   3.310E-04     2.83922
      0.028  -8.250E-04    -6.06783  -1466.7411   30838.448   4.125E-04     3.03392
       0.03    -0.00101    -6.45436  -1799.7601    32882.75   5.062E-04     3.22718
      0.032    -0.00123    -6.83783  -2178.6714    34927.05   6.128E-04     3.41891
      0.034    -0.00147    -7.21806  -2606.2015    36971.35   7.330E-04     3.60903
      0.036    -0.00174    -7.59487  -3085.0539    39015.65   8.677E-04     3.79743
      0.038    -0.00204    -7.96807   -3617.908    41059.95     0.00102     3.98404
       0.04    -0.00237    -8.33751   -4207.417    43104.25     0.00118     4.16875
      0.042    -0.00273    -8.90518   -4856.567    46159.95     0.00137     4.45259
      0.044    -0.00313    -9.46863   -5569.036    49215.65     0.00157     4.73431
      0.046    -0.00357   -10.02759   -6348.829    52271.35     0.00179     5.01379
      0.048    -0.00405    -10.5818   -7199.921    55327.05     0.00202      5.2909
       0.05    -0.00457     -11.131   -8126.253    58382.75     0.00229      5.5655
      0.052    -0.00514   -11.67492   -9131.728    61438.45     0.00257     5.83746
      0.054    -0.00575   -12.21331  -10220.216    64494.15     0.00287     6.10666
      0.056    -0.00641   -12.74591  -11395.544    67549.85      0.0032     6.37296
      0.058    -0.00712   -13.27248  -12661.498    70605.55     0.00356     6.63624
       0.06    -0.00789   -13.79275  -14021.823    73661.25     0.00394     6.89638
      0.062    -0.00871   -13.61732  -15478.994    73269.54     0.00435     6.80866
      0.064    -0.00958   -13.43544  -17032.987    72877.83     0.00479     6.71772
      0.066    -0.01051    -13.2472  -18682.509    72486.12     0.00525      6.6236
      0.068    -0.01149   -13.05268  -20426.223    72094.41     0.00574     6.52634
       0.07    -0.01252   -12.85197  -22262.745     71702.7     0.00626     6.42598
      0.072    -0.01361   -12.64517  -24190.648    71310.99      0.0068     6.32258
      0.074    -0.01474   -12.43238  -26208.461    70919.28     0.00737     6.21619
      0.076    -0.01593    -12.2137  -28314.672    70527.56     0.00796     6.10685
      0.078    -0.01716   -11.98923  -30507.726    70135.85     0.00858     5.99461
       0.08    -0.01844   -11.75908   -32786.03    69744.14     0.00922     5.87954
      0.082    -0.01977   -11.93996   -35148.68     71436.4     0.00989     5.96998
      0.084    -0.02115   -12.11518   -37596.22    73128.65     0.01057     6.05759
      0.086    -0.02257   -12.28466   -40129.91     74820.9     0.01129     6.14233
      0.088    -0.02405   -12.44831   -42750.95    76513.15     0.01202     6.22416
       0.09    -0.02557   -12.60608    -45460.5    78205.41     0.01279     6.30304
      0.092    -0.02715   -12.75786   -48259.68    79897.66     0.01357     6.37893
      0.094    -0.02877    -12.9036   -51149.57    81589.91     0.01439      6.4518
      0.096    -0.03045   -13.04323   -54131.21    83282.16     0.01522     6.52161
      0.098    -0.03218   -13.17667   -57205.59    84974.41     0.01609     6.58834
        0.1    -0.03396   -13.30388   -60373.66    86666.67     0.01698     6.65194
      0.102     -0.0358   -13.05471   -63635.67    86507.75      0.0179     6.52736
      0.104    -0.03768   -12.79936    -66990.5    86348.83     0.01884     6.39968
      0.106    -0.03962   -12.53794   -70436.33    86189.91     0.01981     6.26897
      0.108    -0.04161   -12.27059   -73971.32    86030.99      0.0208     6.13529
       0.11    -0.04365   -11.99741   -77593.55    85872.07     0.02182     5.99871
      0.112    -0.04573   -11.71855   -81301.09    85713.15     0.02287     5.85928
      0.114    -0.04786   -11.43414   -85091.95    85554.23     0.02393     5.71707
      0.116    -0.05004   -11.14432    -88964.1    85395.32     0.02502     5.57216
      0.118    -0.05226   -10.84921    -92915.5     85236.4     0.02613      5.4246
       0.12    -0.05453   -10.61163     -96000.    85077.48     0.02718   -82.86267
      0.122    -0.05684   -10.38362     -96000.    83935.85     0.02795  -115.41014
      0.124    -0.05919   -10.15538     -96000.    82794.23     0.02873   327.87332
      0.126    -0.06158    -9.92713     -96000.    81652.61     0.02953    -526.796
      0.128    -0.06401    -9.69888   -96000.01    80510.99     0.03034   738.95486
       0.13    -0.06648    -9.47064   -96000.01    79369.36     0.03116  -938.18187
      0.132    -0.06899    -9.24239   -96000.01    78227.74       0.032  1150.03639
      0.134    -0.07153    -9.01414   -96000.01    77086.12     0.03284  -1349.5677
      0.136    -0.07411     -8.7859   -96000.01    75944.49      0.0337  1561.11793
      0.138    -0.07673    -8.55765   -96000.01    74802.87     0.03458  -1760.9536
       0.14    -0.07938     -8.3294   -96000.02    73661.25     0.03546  1972.19946
      0.142    -0.08206    -8.45822   -96000.02    74305.55     0.03635  -2172.2204
      0.144    -0.08478    -8.58704   -96000.02    74949.85     0.03726  2383.51904
      0.146    -0.08753    -8.71585   -96000.02    75594.15     0.03818  -2583.3683
      0.148    -0.09031    -8.84467   -96000.02    76238.45      0.0391  2794.83862
       0.15    -0.09314    -8.97348   -96000.02    76882.75     0.04005  -2994.5161
