 
 SAP2000 v24.1.0 File: TRUSS-KASSIMALI-115-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  elastic-0.02
 FUNCTION  axial-0:  Frame 0  Station 1  Axial Force    
 FUNCTION  axial-1:  Frame 1  Station 1  Axial Force    
 FUNCTION  axial-2:  Frame 2  Station 1  Axial Force    
 FUNCTION  axial-3:  Frame 3  Station 1  Axial Force    
 FUNCTION  axial-4:  Frame 4  Station 1  Axial Force    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
                axial-0     axial-1     axial-2     axial-3     axial-4
         0.          0.          0.          0.          0.          0.
       0.02  -1640.1894  5043.41499    585.5941   -640.0739  -3050.5686
       0.04  -11909.037    34535.07  3586.47706   -4647.429  -21418.206
       0.06   -34968.59   92116.186   7602.0555  -13646.278   -59584.57
       0.08   -68391.17  157556.685  7892.50953  -26689.238  -108301.88
        0.1   -96792.52  181573.014  -1212.3883   -37772.69  -137695.25
       0.12  -109480.85  156782.062  -14936.241   -42724.23  -136256.85
       0.14   -99680.95  104816.101  -22383.718   -38899.88  -106591.72
       0.16   -69726.08   62138.509  -14862.663  -27210.177   -65182.21
       0.18   -35534.47   65428.787  7084.90254  -13867.109   -40215.46
        0.2   -11743.47  100792.746  28372.2887   -4582.818    -40129.2
       0.22    -8870.18  130774.339   31657.597   -3461.534   -58508.76
       0.24  -26282.135  122795.558   11238.092  -10256.443   -78049.05
       0.26   -47234.02   61491.492  -22039.105   -18432.79    -73667.5
       0.28    -50964.6  -28618.555   -44929.39  -19888.624   -34697.83
        0.3   -28936.81    -89015.9   -36767.28  -11292.414  20802.8225
       0.32  10600.6086   -78282.06  2024.24564  4136.82287   61241.853
       0.34    54069.78  -28843.829   43906.771  21100.4019   76516.336
       0.36   77686.611  17568.9383   58327.052  30316.7263   59732.111
       0.38   73868.206  5641.57127  30191.0009  28826.6168   33507.573
        0.4   47991.129   -63723.36  -23049.102  18728.2455  18981.1409
       0.42  11292.7875  -121974.53   -60908.17  4406.94146  15345.6848
       0.44   -9969.786  -138320.59   -56573.48   -3890.648   33023.586
       0.46  -185.87884  -111916.59   -12637.28   -72.53808   68140.845
       0.48   33125.368   -59608.92   41923.218  12926.9729   97110.715
        0.5   68578.699  -16768.069   69481.468  26762.4192   99427.886
       0.52   90113.468  -29150.405   47947.903   35166.231   81797.682
       0.54   80711.037   -68694.09   -6266.928    31496.99   43686.906
       0.56     41308.1   -87556.15   -54340.49  16120.2341  -2258.4919
       0.58  -10772.018   -57393.47   -63431.58   -4203.714   -36244.38
        0.6   -53817.58  13819.6745  -28819.657  -21001.984   -46389.33
       0.62   -69874.32   78500.971   22834.783  -27268.028  -30332.249
       0.64   -53351.97   88278.425   54245.687  -20820.281  1598.29015
       0.66   -7991.742  18748.3404   43300.337  -3118.7286   40064.166
       0.68   51103.303   -96877.05   450.66548  19942.7524   73221.117
        0.7  101173.667  -183659.23   -39499.21   39482.407   88370.408
       0.72  121993.057  -184794.09   -45557.31   47607.047   81648.933
       0.74  102601.314   -99321.87   -13868.18   40039.537   57156.174
       0.76   47330.831  15923.7709   29613.721  18470.5681  25074.3231
       0.78   -8570.261   42538.083   44821.704   -3344.492  24123.5672
        0.8   -35544.01   -42673.92  19762.5706  -13870.835    56708.65
       0.82  -25608.294  -146340.48  -19613.735   -9993.481    85238.19
       0.84  7401.26896  -151942.98   -35919.54  2888.30008   69057.803
       0.86   36487.214  -25415.646  -15245.095  14238.9126     5.36541
       0.88   36732.103  152263.182   20603.193  14334.4791    -88443.4
        0.9  -562.30743  252735.645   35141.072  -219.43705  -145625.39
       0.92   -62425.15  209493.369  11961.1909  -24361.034  -142168.54
       0.94  -120427.03   73710.781  -28884.806   -46995.92   -91389.09
       0.96  -145323.91     -31752.   -48414.76   -56711.77   -36704.45
       0.98  -122412.89  -19884.044  -24823.984   -47770.89  -16116.948
         1.   -59473.92   85227.436  24623.4125  -23209.333   -33141.31
