 
 SAP2000 v24.1.0 File: TRUSS-KASSIMALI-115-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  inelastic-0.002
 FUNCTION  axial-1:  Frame 1  Station 1  Axial Force    
 FUNCTION  axial-0:  Frame 0  Station 1  Axial Force    
 FUNCTION  axial-2:  Frame 2  Station 1  Axial Force    
 FUNCTION  axial-3:  Frame 3  Station 1  Axial Force    
 FUNCTION  axial-4:  Frame 4  Station 1  Axial Force    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
                axial-1     axial-0     axial-2     axial-3     axial-4
         0.          0.          0.          0.          0.          0.
      0.002     7.91018     -2.5261      0.9477    -0.98579    -4.74801
      0.004    47.38707   -15.14257     5.67125     -5.9093   -28.45123
      0.006   149.70199   -47.88385    17.88691   -18.68638   -89.91786
      0.008   345.53833  -110.67273    41.19243   -43.18936  -207.66322
       0.01    664.7044  -213.26538    79.00961   -83.22552  -399.76628
      0.012  1135.85459  -365.19723   134.52899  -142.51599  -683.72971
      0.014   1786.2213  -575.73007    210.6572  -224.67515  -1076.3445
      0.016  2641.36028  -853.80069   309.96794  -333.19051  -1593.5603
      0.018  3724.91156  -1207.9713   434.65681  -471.40345  -2250.3627
       0.02  5058.37849  -1646.3822   586.50084  -642.49062  -3060.6578
      0.022  6660.15245   -2176.459    766.7303  -849.34987   -4036.701
      0.024  8544.56671  -2804.6247   975.90756  -1094.4877   -5188.541
      0.026   10722.537   -3536.511  1214.00029  -1380.1017   -6524.402
      0.028  13202.2339   -4377.173  1480.46241  -1708.1652   -8051.097
       0.03  15989.0071   -5331.066  1774.22857  -2080.4159    -9773.97
      0.032  19085.3357   -6402.013  2093.71522  -2498.3466  -11696.858
      0.034  22490.8053   -7593.191   2436.8282  -2963.1966  -13822.069
      0.036  26202.1128   -8907.109  2800.97691   -3475.945  -16150.363
      0.038   30213.098  -10345.596  3183.09486   -4037.306  -18680.955
       0.04   34514.801  -11909.789  3579.66653   -4647.722  -21411.518
      0.042    39099.08  -13601.256  3987.18327   -5307.807  -24340.331
      0.044   43962.213  -15423.113  4402.59815   -6018.776  -27468.412
      0.046   49101.409  -17378.883  4822.92705   -6782.003  -30797.398
      0.048   54511.301  -19471.343  5244.84828   -7598.573   -34327.42
       0.05      60184.  -21702.514  5664.73022   -8469.274   -38057.09
      0.052   66109.163  -24073.648  6078.66378   -9394.594   -41983.54
      0.054     72274.1  -26585.219  6482.49939  -10374.719   -46102.45
      0.056   78663.884  -29236.923  6871.88816  -11409.531   -50408.05
      0.058     85261.5   -32027.68  7242.32681  -12498.607   -54893.22
       0.06   92047.999   -34955.64  7589.20595  -13641.224   -59549.49
      0.062   98990.642   -38014.34   7906.4194  -14834.863   -64359.96
      0.064   106031.18   -41188.91  8184.99866  -16073.723   -69292.14
      0.066  113098.425   -44460.02  8414.67766  -17350.251   -74305.47
      0.068  120120.957   -47807.76  8585.48033  -18656.686   -79358.87
       0.07  127027.787   -51211.82  8687.86482  -19985.101   -84411.01
      0.072  130000.004   -54651.58  8715.23055  -21327.447   -89422.66
      0.074   130000.01   -58106.22  8668.11501  -22675.599   -94360.37
      0.076  130000.017   -61554.83  8553.43698  -24021.398   -99196.04
      0.078  130000.023   -64976.54  8380.07456  -25356.699  -103903.48
       0.08  130000.028   -68350.62  8156.91488  -26673.414  -108456.98
      0.082  130000.034   -71658.94  7893.63698  -27964.466  -112835.79
      0.084  130000.039   -74888.38  7601.50848  -29224.734  -117028.66
      0.086  130000.044   -78028.57  7292.45025  -30450.172  -121029.52
      0.088  130000.048   -81069.63  6978.09903   -31636.93  -124833.15
       0.09  130000.052   -84002.26  6669.74431   -32781.37  -128435.27
      0.092  130000.056   -86817.73   6377.4134   -33880.09    -130000.
      0.094   130000.06   -89507.97  6108.32751   -34929.94  -130000.01
      0.096  130000.064   -92065.61  5867.18797   -35928.04  -130000.01
      0.098  130000.067   -94484.01  5657.84539   -36871.81  -130000.01
        0.1  130000.071    -96757.3  5484.01691   -37758.95  -130000.01
      0.102  130000.074   -98878.37  5348.49661   -38586.68  -130000.02
      0.104  130000.077  -100836.79  5252.36731   -39350.94  -130000.02
      0.106   130000.08    -102621.  5195.76797   -40047.22  -130000.02
      0.108  130000.082   -104220.4  5178.66953   -40671.37  -130000.02
       0.11  130000.085   -105625.4   5200.8772   -41219.67  -130000.02
      0.112  130000.088  -106827.52  5262.03139   -41688.79  -130000.03
      0.114   130000.09  -107819.36  5361.60911   -42075.85  -130000.03
      0.116  130000.092  -108594.73  5498.92625   -42378.43  -130000.03
      0.118  130000.094  -109148.61  5673.14041   -42594.58  -130000.03
       0.12  130000.096  -109477.22  5883.25442   -42722.82  -130000.03
