 
 SAP2000 v24.1.0 File: TRUSS-KASSIMALI-115-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  inelastic-0.02
 FUNCTION  axial-1:  Frame 1  Station 1  Axial Force    
 FUNCTION  axial-0:  Frame 0  Station 1  Axial Force    
 FUNCTION  axial-2:  Frame 2  Station 1  Axial Force    
 FUNCTION  axial-3:  Frame 3  Station 1  Axial Force    
 FUNCTION  axial-4:  Frame 4  Station 1  Axial Force    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
                axial-1     axial-0     axial-2     axial-3     axial-4
         0.          0.          0.          0.          0.          0.
       0.02  6423.35897  -2221.2119   664.34153  -866.81442   -3987.092
       0.04   33035.295  -12026.663   3050.4734   -4693.332   -20963.38
       0.06   86315.465   -33858.61   6516.3456  -13213.117   -56591.17
       0.08  130000.021   -64680.76  8322.58648  -25241.272   -102705.5
        0.1  130000.073   -93348.54  7864.26282    -36428.7  -130000.01
       0.12  130000.107  -108659.74  8180.32829    -42403.8  -130000.04
       0.14  130000.121  -103375.98  10398.4175   -40341.85  -130000.05
       0.16  120224.436   -78311.67  13094.9911  -30560.653  -119297.56
       0.18   92864.122   -44548.58  15564.6018  -17384.811   -95690.32
        0.2   61940.105  -16254.071  17849.8722   -6343.052   -69640.71
       0.22   44573.273   -5066.502  20414.0593  -1977.1716   -53410.36
       0.24   46274.489  -13818.438  22375.6326   -5392.561    -52234.3
       0.26   46941.189   -31749.37  20558.5759     -12390.   -55005.65
       0.28  21595.5383   -41639.82  13397.6317  -16249.688   -44947.59
        0.3  -27076.685    -32910.7  5157.68412    -12843.2  -18743.357
       0.32   -75435.59   -5194.651   2854.0327   -2027.181  14646.2567
       0.34   -99631.73    32421.13  10199.7849  12652.1482    41975.55
       0.36   -86668.76   63382.593  24403.9243  24734.6702   50008.498
       0.38   -56163.49   75883.096   35495.339  29612.9157   40993.816
        0.4   -38138.45   66145.965   34185.516  25813.0593  25837.7596
       0.42     -46489.   39014.849  19786.9988   15225.307  14102.5193
       0.44   -87164.11  12063.0752  -260.27062  4707.54153   19549.768
       0.46  -130000.13  2390.39865  -13339.877    932.8385    44423.94
       0.48  -130000.16   12789.292   -9994.506  4990.94321   70665.222
        0.5  -116033.37   36228.341  7157.70465  14137.8892   81630.394
       0.52   -73766.34   61277.421   25902.817    23913.14    73361.51
       0.54  -26122.349   72454.005    33411.63  28274.7338   47014.532
       0.56  2963.72254   60060.343  23047.1444  23438.1828   12244.371
       0.58  2072.49983  26546.2433  -541.72298  10359.5096  -16573.296
        0.6  -13477.427  -16645.944  -22562.379   -6495.978   -32436.67
       0.62  -17773.809   -53190.96  -28017.915  -20757.447    -36033.8
       0.64   -2258.443    -67064.5   -12972.12  -26171.514  -28863.086
       0.66  9402.12563    -47482.9  11716.0403  -18529.912   -6748.312
       0.68  -15006.156  3921.31441   28900.666  1530.26904   33038.682
        0.7   -79959.47   69899.708  28473.9645  27277.9349   81220.293
       0.72  -130000.19  123829.445  12722.4159   48323.686  118570.714
       0.74  -130000.23   130000.01   -8142.243   54548.263   122995.54
       0.76  -111910.26   99562.195   -23930.75   42670.092   89692.426
       0.78   -61559.07   41085.718  -29995.267   19850.003   44348.389
        0.8   -18651.06  -16322.969  -27001.072  -2553.3872   15910.126
       0.82   324.66861   -50220.06  -18291.685   -15781.52  12565.0632
       0.84   3439.6467   -51894.53    -7892.22  -16434.972  23228.1609
       0.86  13192.5693  -29197.243   703.68531   -7577.494  26658.3511
       0.88    47092.88  -1864.0221  4502.28909  3089.12879  5981.37267
        0.9  102011.526  8957.01125   1083.3687  7311.97109   -39481.26
       0.92  130000.258    -8216.24   -8584.809   610.21433    -93861.4
       0.94  130000.299   -48993.16  -17517.736  -15302.731  -130000.05
       0.96  130000.318   -94861.55  -18003.614   -33202.59  -130000.07
       0.98  121811.431  -122080.76   -9120.785   -43824.72  -112754.86
         1.   84661.205  -113393.28  3920.48077   -40434.48   -68590.61
