 
 SAP2000 v24.1.0 File: WALL-1ELEMENT-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  elastic-0.02
 FUNCTION  disp-2-0:  Joint 2  Displacement  UX    
 FUNCTION  disp-2-1:  Joint 2  Displacement  UZ    
 FUNCTION  disp-3-0:  Joint 3  Displacement  UX    
 FUNCTION  disp-3-1:  Joint 3  Displacement  UZ    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-2-0    disp-2-1    disp-3-0    disp-3-1
         0.          0.          0.          0.          0.
       0.02    123.1715  -135.56829   100.25728   -15.47686
       0.04   234.52088  -258.13661   190.91041   -29.46402
       0.06   400.54807  -440.87063   326.04365   -50.32369
       0.08   379.40931  -417.61263   308.85121   -47.66685
        0.1   471.23234  -518.66847   383.57952   -59.20768
       0.12   462.79923  -509.39803   376.73125   -58.14482
       0.14   400.65147  -440.98898   326.13566   -50.33374
       0.16   435.46016  -479.29257   354.45397   -54.71442
       0.18   364.61331  -401.33332   296.82262   -45.80933
        0.2   344.31384  -378.97226    280.2601   -43.25703
       0.22   335.63551  -369.42085   273.20245   -42.16917
       0.24   227.83251  -250.78685   185.48846   -28.62527
       0.26    92.18328  -101.45044    75.01291   -11.58087
       0.28     0.50743    -0.55609     0.40828    -0.06393
        0.3     0.25769    -0.29738       0.237    -0.03428
       0.32  -163.72204   180.21331  -133.28881    20.57263
       0.34   -81.81905    90.06862   -66.62258    10.27716
       0.36  -180.75683   198.92715  -147.08695    22.71103
       0.38  -246.91841   271.79822  -201.03304    31.02346
        0.4  -145.19861   159.82563  -118.20772    18.23928
       0.42  -287.32562   316.21499  -233.81837    36.10317
       0.44  -345.18971   379.98001  -281.05727    43.36869
       0.46  -308.12093   339.13838  -250.80471    38.70783
       0.48  -216.91192   238.71859   -176.5105    27.25354
        0.5  -326.99905   359.95457  -266.24894    41.08917
       0.52  -199.39791   219.47155   -162.3042    25.04704
       0.54  -162.44426   178.76225  -132.16389    20.40648
       0.56  -127.74844   140.65518  -104.07443     16.0556
       0.58    -36.0192    39.63023   -29.29462     4.52595
        0.6    18.72064    -20.6343    15.29919    -2.35656
       0.62    80.64663   -88.71769    65.55433   -10.13315
       0.64     0.58098    -0.66843     0.52333    -0.06408
       0.66  -122.96323   135.32505  -100.05989    15.44572
       0.68  -235.34565   259.08911  -191.65865    29.56097
        0.7  -321.89157   354.26063  -261.95856     40.4481
       0.72  -343.07023    377.6082  -279.26124    43.10644
       0.74  -182.14991   200.53127  -148.34424    22.87515
       0.76  -341.84226   376.19921  -278.16015    42.95436
       0.78  -323.31405    355.8984  -263.24413    40.62432
        0.8  -234.92305   258.59445  -191.26393    29.50773
       0.82   -122.0342   134.26275   -99.22663    15.33289
       0.84    -0.91919     1.05921    -0.84561     0.11962
       0.86   123.10538  -135.49322   100.20419   -15.46641
       0.88    235.5139  -259.28459   191.82007   -29.59475
        0.9   321.55313  -353.86227   261.63193   -40.39761
       0.92   379.53452  -417.75944   308.96299   -47.67963
       0.94   399.70489   -439.9932   325.45887   -50.22007
       0.96   378.09386  -416.09655   307.65494   -47.50875
       0.98   323.22778  -355.79312   263.15172    -40.6031
         1.   235.00911    -258.704    191.3625   -29.52446
